cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1517433054-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05_XX_01.slope,ORNL_DAAC,1,2018-05-06T14:22:29Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05_XX_01.slope,188.590328,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433129-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.hgt,ORNL_DAAC,1,2018-05-06T14:22:41Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.hgt,2.610144,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433157-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30HVHV_XX_01.grd,ORNL_DAAC,1,2018-05-06T14:22:45Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30HVHV_XX_01.grd,2.610144,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433374-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05HHHV_XX_01.grd,ORNL_DAAC,1,2018-05-06T14:23:14Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05HHHV_XX_01.grd,188.590328,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433473-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05HVHV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:23:27Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05HVHV_XX_01.mlc,26.186332,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433635-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.h5,ORNL_DAAC,1,2018-05-06T14:23:48Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.h5,19.308821,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433733-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.kml,ORNL_DAAC,1,2018-05-06T14:24:02Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.kml,0.001724,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433863-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.png,ORNL_DAAC,1,2018-05-06T14:24:20Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30_XX_01.png,0.776404,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517433955-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30HHHV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:24:31Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_30HHHV_XX_01.mlc,1.57312,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517434072-ORNL_DAAC,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05HVVV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:24:44Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_Moisst_1413,AirMOSS_L1_Sigma0_Moisst.Oklaho_07900_12120_002_121024_PL09043020_05HVVV_XX_01.mlc,52.372664,,Day,2012-10-24T11:16:04.000Z,2012-10-24T11:23:50.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
