cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1517438319-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05HHHH_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:35:54Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05HHHH_XX_01.mlc,32.369784,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438357-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05_XX_01.inc,ORNL_DAAC,1,2018-05-06T14:35:57Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05_XX_01.inc,220.470484,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438411-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05HVHV_XX_01.grd,ORNL_DAAC,1,2018-05-06T14:36:05Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05HVHV_XX_01.grd,220.470484,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438453-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30HHVV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:36:12Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30HHVV_XX_01.mlc,1.945656,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438494-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30HHVV_XX_01.grd,ORNL_DAAC,1,2018-05-06T14:36:16Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30HHVV_XX_01.grd,12.255504,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438653-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30_XX_01_THUMBNAIL.jpg,ORNL_DAAC,1,2018-05-06T14:36:38Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30_XX_01_THUMBNAIL.jpg,0.003155,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438878-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30_XX_01.ann,ORNL_DAAC,1,2018-05-06T14:37:09Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30_XX_01.ann,0.022984,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438898-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05HVVV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:37:12Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05HVVV_XX_01.mlc,64.739568,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517438955-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30HVHV_XX_01.mlc,ORNL_DAAC,1,2018-05-06T14:37:20Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_30HVHV_XX_01.mlc,0.972828,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1517439032-ORNL_DAAC,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05_XX_01.h5,ORNL_DAAC,1,2018-05-06T14:37:29Z,2018-05-01T00:00:00.000Z,AirMOSS_L1_Sigma0_TonziR_1414,AirMOSS_L1_Sigma0_TonziR.TonziR_32000_13017_002_130205_PL09043020_05_XX_01.h5,786.323129,,Day,2013-02-05T03:51:15.000Z,2013-02-05T04:00:21.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
