cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1461531800-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_DUKEFR_20110101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_DUKEFR_20110101_03.nc4,0.073788,,Day,2011-09-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531823-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_METOLI_20110101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_METOLI_20110101_03.nc4,0.049337,,Day,2011-09-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531825-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_HARVRD_20110101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_HARVRD_20110101_03.nc4,0.075575,,Day,2011-09-01T00:00:00.000Z,2011-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531790-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_HARVRD_20120101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:41Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_HARVRD_20120101_03.nc4,0.162108,,Day,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531808-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_METOLI_20120101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_METOLI_20120101_03.nc4,0.140353,,Day,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531822-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_TONZIR_20120101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_TONZIR_20120101_03.nc4,0.177158,,Day,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531824-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_DUKEFR_20120101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_DUKEFR_20120101_03.nc4,0.181504,,Day,2012-01-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531798-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_BERMSP_20120101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_BERMSP_20120101_03.nc4,0.078803,,Day,2012-06-01T00:00:00.000Z,2012-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531806-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_DUKEFR_20130101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_DUKEFR_20130101_03.nc4,0.153942,,Day,2013-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461531816-ORNL_DAAC,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_HARVRD_20130101_03.nc4,ORNL_DAAC,1,2018-03-27T16:17:42Z,2016-09-02T00:00:00.000Z,AirMOSS_L2_Inground_Soil_Moist_1416,AirMOSS_L2_Inground_Soil_Moist.L2IGSM_calibrated_HARVRD_20130101_03.nc4,0.153498,,Day,2013-01-01T00:00:00.000Z,2013-12-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
