cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1643296999-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-HCN_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:20Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-HCN_DC8_20160729_R1.ict,0.547935,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643297013-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-SO2_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:20Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-SO2_DC8_20160729_R1.ict,0.54799,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643297095-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-MHP_DC8_20160729_R2.ict,ORNL_DAAC,1,2019-10-02T11:58:22Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-MHP_DC8_20160729_R2.ict,0.073403,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643297193-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-HNO3_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:26Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-HNO3_DC8_20160729_R1.ict,0.547927,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643297196-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-PNA_DC8_20160729_R0.ict,ORNL_DAAC,1,2019-10-02T11:58:26Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-PNA_DC8_20160729_R0.ict,0.558891,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643297453-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-PAA_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:37Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-PAA_DC8_20160729_R1.ict,0.54794,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643297464-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-H2O2_DC8_20160729_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:37Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-H2O2_DC8_20160729_R1.ict,0.547939,,Both,2016-07-29T14:33:18.000Z,2016-07-29T23:56:30.000Z,4.95737,34.7146,-120.731,-117.858,"POLYGON ((-117.858 4.95737, -117.858 34.7146, -120.731 34.7146, -120.731 4.95737, -117.858 4.95737))"
granule,G1643296994-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-SO2_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:20Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-SO2_DC8_20160801_R1.ict,0.591597,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297064-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-H2O2_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:21Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-H2O2_DC8_20160801_R1.ict,0.591546,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297195-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-HCN_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:26Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-HCN_DC8_20160801_R1.ict,0.591542,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297321-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-MHP_DC8_20160801_R2.ict,ORNL_DAAC,1,2019-10-02T11:58:31Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-MHP_DC8_20160801_R2.ict,0.093973,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297445-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-PAA_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:36Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-PAA_DC8_20160801_R1.ict,0.591547,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297466-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-HNO3_DC8_20160801_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:37Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-HNO3_DC8_20160801_R1.ict,0.591534,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297467-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-PNA_DC8_20160801_R0.ict,ORNL_DAAC,1,2019-10-02T11:58:37Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-PNA_DC8_20160801_R0.ict,0.595193,,Both,2016-08-01T14:29:36.000Z,2016-08-02T00:39:07.000Z,34.6301,79.247,-150.432,-118.105,"POLYGON ((-118.105 34.6301, -118.105 79.247, -150.432 79.247, -150.432 34.6301, -118.105 34.6301))"
granule,G1643297012-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-HNO3_DC8_20160803_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:20Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-HNO3_DC8_20160803_R1.ict,0.424428,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1643297169-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-PNA_DC8_20160803_R0.ict,ORNL_DAAC,1,2019-10-02T11:58:25Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-PNA_DC8_20160803_R0.ict,0.429885,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
granule,G1643297180-ORNL_DAAC,ATom_CIT_Instrument_Data.CIT-HCN_DC8_20160803_R1.ict,ORNL_DAAC,1,2019-10-02T11:58:25Z,2019-10-01T00:00:00.000Z,ATom_CIT_Instrument_Data_1713,ATom_CIT_Instrument_Data.CIT-HCN_DC8_20160803_R1.ict,0.424436,,Both,2016-08-03T19:01:00.000Z,2016-08-04T02:17:23.000Z,19.7413,61.2485,-162.89,-150.014,"POLYGON ((-150.014 19.7413, -150.014 61.2485, -162.89 61.2485, -162.89 19.7413, -150.014 19.7413))"
