cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422755727-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_trn999ffn01.dat,ORNL_DAAC,1,2017-09-28T16:36:55Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_trn999ffn01.dat,5.793571,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755728-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wbl01.dat,ORNL_DAAC,1,2017-09-28T16:36:56Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wbl01.dat,5.806126,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755729-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_ssa999wlv01.dat,ORNL_DAAC,1,2017-09-28T16:36:56Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_ssa999wlv01.dat,5.712506,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755730-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wlj01.dat,ORNL_DAAC,1,2017-09-28T16:36:56Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wlj01.dat,5.793358,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755731-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wle01.dat,ORNL_DAAC,1,2017-09-28T16:36:57Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wle01.dat,5.810345,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755732-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wgx01.dat,ORNL_DAAC,1,2017-09-28T16:36:58Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wgx01.dat,5.816458,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755733-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wwc01.dat,ORNL_DAAC,1,2017-09-28T16:36:59Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wwc01.dat,5.818937,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755734-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wff01.dat,ORNL_DAAC,1,2017-09-28T16:36:59Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wff01.dat,6.00491,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755735-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wrj01.dat,ORNL_DAAC,1,2017-09-28T16:37:00Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wrj01.dat,5.786206,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
granule,G1422755736-ORNL_DAAC,BOREAS_AMS_CS94.aescs94_reg999wjh01.dat,ORNL_DAAC,1,2017-09-28T16:37:00Z,1999-01-30T00:00:00.000Z,BOREAS_AMS_CS94_404,BOREAS_AMS_CS94.aescs94_reg999wjh01.dat,5.758111,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,50.95,58.183,-108.517,-94.7,"POLYGON ((-94.7 50.95, -94.7 58.183, -108.517 58.183, -108.517 50.95, -94.7 50.95))"
