cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1470705465-ORNL_DAAC,BOREAS_AOCI0BIL.94202F1714.gz,ORNL_DAAC,1,2018-03-29T21:14:29Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202F1714.gz,1.698196,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705468-ORNL_DAAC,BOREAS_AOCI0BIL.94202C1854.gz,ORNL_DAAC,1,2018-03-29T21:14:29Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202C1854.gz,2.109782,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705469-ORNL_DAAC,BOREAS_AOCI0BIL.94202D1628.gz,ORNL_DAAC,1,2018-03-29T21:14:29Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202D1628.gz,0.953233,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705475-ORNL_DAAC,BOREAS_AOCI0BIL.94202E1628.gz,ORNL_DAAC,1,2018-03-29T21:14:29Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202E1628.gz,0.81601,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705476-ORNL_DAAC,BOREAS_AOCI0BIL.94202G1735.gz,ORNL_DAAC,1,2018-03-29T21:14:29Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202G1735.gz,0.826049,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705482-ORNL_DAAC,BOREAS_AOCI0BIL.94202G1704.gz,ORNL_DAAC,1,2018-03-29T21:14:30Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202G1704.gz,0.995759,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705483-ORNL_DAAC,BOREAS_AOCI0BIL.94202I1628.gz,ORNL_DAAC,1,2018-03-29T21:14:30Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202I1628.gz,0.072115,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705484-ORNL_DAAC,BOREAS_AOCI0BIL.94202F1643.gz,ORNL_DAAC,1,2018-03-29T21:14:30Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202F1643.gz,0.966361,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705485-ORNL_DAAC,BOREAS_AOCI0BIL.94202H1714.gz,ORNL_DAAC,1,2018-03-29T21:14:30Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202H1714.gz,2.423249,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
granule,G1470705486-ORNL_DAAC,BOREAS_AOCI0BIL.94202D1643.gz,ORNL_DAAC,1,2018-03-29T21:14:30Z,1999-01-30T00:00:00.000Z,BOREAS_AOCI0BIL_281,BOREAS_AOCI0BIL.94202D1643.gz,1.289843,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,52.98,54.46,-105.91,-104.93,"POLYGON ((-104.93 52.98, -104.93 54.46, -105.91 54.46, -105.91 52.98, -104.93 52.98))"
