cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422748490-ORNL_DAAC,BOREAS_BIOMEBGC.ssa-9oa-flxtr.out_hyd,ORNL_DAAC,1,2017-09-28T16:32:49Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.ssa-9oa-flxtr.out_hyd,0.013137,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748491-ORNL_DAAC,BOREAS_BIOMEBGC.ssa-9oa-flxtr.in_ini,ORNL_DAAC,1,2017-09-28T16:32:49Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.ssa-9oa-flxtr.in_ini,0.003735,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748492-ORNL_DAAC,BOREAS_BIOMEBGC.nsa-yjp-flxtr.in_met,ORNL_DAAC,1,2017-09-28T16:32:49Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.nsa-yjp-flxtr.in_met,0.024417,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748493-ORNL_DAAC,BOREAS_BIOMEBGC.ssa-obs-flxtr.out_carb,ORNL_DAAC,1,2017-09-28T16:32:50Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.ssa-obs-flxtr.out_carb,0.0214,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748494-ORNL_DAAC,BOREAS_BIOMEBGC.ssa-ojp-flxtr.out_hyd,ORNL_DAAC,1,2017-09-28T16:32:50Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.ssa-ojp-flxtr.out_hyd,0.012781,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748495-ORNL_DAAC,BOREAS_BIOMEBGC.nsa-obs-flxtr.out_carb,ORNL_DAAC,1,2017-09-28T16:32:51Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.nsa-obs-flxtr.out_carb,0.021066,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748496-ORNL_DAAC,BOREAS_BIOMEBGC.nsa-obs-flxtr.in_met,ORNL_DAAC,1,2017-09-28T16:32:51Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.nsa-obs-flxtr.in_met,0.024375,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748497-ORNL_DAAC,BOREAS_BIOMEBGC.ssa-obs-flxtr.in_ini,ORNL_DAAC,1,2017-09-28T16:32:52Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.ssa-obs-flxtr.in_ini,0.003755,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748498-ORNL_DAAC,BOREAS_BIOMEBGC.ssa-obs-flxtr.in_met,ORNL_DAAC,1,2017-09-28T16:32:52Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.ssa-obs-flxtr.in_met,0.02424,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
granule,G1422748500-ORNL_DAAC,BOREAS_BIOMEBGC.nsa-obs-flxtr.out_hyd,ORNL_DAAC,1,2017-09-28T16:32:53Z,1999-01-30T00:00:00.000Z,BOREAS_BIOMEBGC_295,BOREAS_BIOMEBGC.nsa-obs-flxtr.out_hyd,0.013241,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6289,55.8957,-106.198,-98.2871,"POLYGON ((-98.2871 53.6289, -98.2871 55.8957, -106.198 55.8957, -106.198 53.6289, -98.2871 53.6289))"
