cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422755875-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_22-JUN-1984.zip,ORNL_DAAC,1,2017-09-28T16:38:19Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_22-JUN-1984.zip,374.295654,,Day,1984-06-22T00:00:00.000Z,1984-06-22T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755873-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_19-AUG-1985.zip,ORNL_DAAC,1,2017-09-28T16:38:19Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_19-AUG-1985.zip,156.857729,,Day,1985-08-19T00:00:00.000Z,1985-08-19T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755881-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_15-AUG-1986.zip,ORNL_DAAC,1,2017-09-28T16:38:22Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_15-AUG-1986.zip,180.941164,,Day,1986-08-15T00:00:00.000Z,1986-08-15T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755879-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_01-JUN-1988.zip,ORNL_DAAC,1,2017-09-28T16:38:21Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_01-JUN-1988.zip,174.729234,,Day,1988-06-01T00:00:00.000Z,1988-06-01T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755872-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_20-AUG-1988.zip,ORNL_DAAC,1,2017-09-28T16:38:18Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_20-AUG-1988.zip,148.003341,,Day,1988-08-20T00:00:00.000Z,1988-08-20T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755877-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_05-SEP-1988.zip,ORNL_DAAC,1,2017-09-28T16:38:20Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_05-SEP-1988.zip,158.317636,,Day,1988-09-05T00:00:00.000Z,1988-09-05T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755880-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_07-AUG-1989.zip,ORNL_DAAC,1,2017-09-28T16:38:22Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_07-AUG-1989.zip,156.59612,,Day,1989-08-07T00:00:00.000Z,1989-08-07T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755867-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_25-JUL-1990.zip,ORNL_DAAC,1,2017-09-28T16:38:16Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_25-JUL-1990.zip,152.687586,,Day,1990-07-25T00:00:00.000Z,1990-07-25T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755866-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_28-JUL-1991.zip,ORNL_DAAC,1,2017-09-28T16:38:15Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_28-JUL-1991.zip,160.008181,,Day,1991-07-28T00:00:00.000Z,1991-07-28T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
granule,G1422755882-ORNL_DAAC,BOREAS_LTM_II3B.LandsatTM_boreas_06-AUG-1992.zip,ORNL_DAAC,1,2017-09-28T16:38:23Z,1999-11-12T00:00:00.000Z,BOREAS_LTM_II3B_425,BOREAS_LTM_II3B.LandsatTM_boreas_06-AUG-1992.zip,162.848954,,Day,1992-08-06T00:00:00.000Z,1992-08-06T00:00:00.000Z,53.42,56.25,-106.32,-97.34,"POLYGON ((-97.34 53.42, -97.34 56.25, -106.32 56.25, -106.32 53.42, -97.34 53.42))"
