cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422808169-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA-90A_072194_1755-1759.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:50Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA-90A_072194_1755-1759.tar.gz,25.655824,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808177-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA_072194_1712-1717.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:51Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA_072194_1712-1717.tar.gz,14.760229,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808195-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA_072194_1633-1642.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:52Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA_072194_1633-1642.tar.gz,23.864299,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808203-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA-YJP_072194_2022-2026.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:52Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA-YJP_072194_2022-2026.tar.gz,23.367482,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808214-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA-YJP_072194_2000-2004.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:53Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA-YJP_072194_2000-2004.tar.gz,23.500094,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808236-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA_072194_1721-1726.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:54Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA_072194_1721-1726.tar.gz,13.78797,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808244-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA-OJP_072194_1949-1953.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:54Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA-OJP_072194_1949-1953.tar.gz,23.582079,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808255-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA-OJP_072194_1924-1928.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:55Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA-OJP_072194_1924-1928.tar.gz,23.047844,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808263-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA_072194_1607-1614.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:55Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA_072194_1607-1614.tar.gz,19.04899,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1422808271-ORNL_DAAC,BOREAS_MASLV1B.MAS1b_SSA_072194_1731-1735.tar.gz,ORNL_DAAC,1,2017-09-28T17:30:56Z,2000-11-16T00:00:00.000Z,BOREAS_MASLV1B_560,BOREAS_MASLV1B.MAS1b_SSA_072194_1731-1735.tar.gz,9.66736,,Day,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
