cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1546809856-ORNL_DAAC,BOREAS_REGSOILR.domdevel.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.domdevel.gz,0.068632,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809857-ORNL_DAAC,BOREAS_REGSOILR.subphwat.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.subphwat.gz,0.070938,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809858-ORNL_DAAC,BOREAS_REGSOILR.dinclus2.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.dinclus2.gz,0.057298,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809859-ORNL_DAAC,BOREAS_REGSOILR.subname1_mn.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.subname1_mn.gz,0.038966,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809860-ORNL_DAAC,BOREAS_REGSOILR.subslope.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.subslope.gz,0.07793,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809861-ORNL_DAAC,BOREAS_REGSOILR.subicect.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.subicect.gz,0.033711,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809862-ORNL_DAAC,BOREAS_REGSOILR.domcmplr.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.domcmplr.gz,0.028855,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809863-ORNL_DAAC,BOREAS_REGSOILR.dompmtex.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.dompmtex.gz,0.071961,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809864-ORNL_DAAC,BOREAS_REGSOILR.subactlr.gz,ORNL_DAAC,1,2018-09-10T13:31:01Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.subactlr.gz,0.017891,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
granule,G1546809865-ORNL_DAAC,BOREAS_REGSOILR.subpmtex.gz,ORNL_DAAC,1,2018-09-10T13:31:02Z,1999-01-30T00:00:00.000Z,BOREAS_REGSOILR_285,BOREAS_REGSOILR.subpmtex.gz,0.070356,,Day,1991-01-01T00:00:00.000Z,1991-12-31T00:00:00.000Z,50.089,59.979,-111.0,-93.502,"POLYGON ((-93.502 50.089, -93.502 59.979, -111 59.979, -111 50.089, -93.502 50.089))"
