cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1461013494-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-9bs-aux05_1.jpg,ORNL_DAAC,1,2018-03-26T12:43:52Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-9bs-aux05_1.jpg,0.113808,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,53.6488,53.9988,-105.295,-104.638,"POLYGON ((-104.638 53.6488, -104.638 53.9988, -105.295 53.9988, -105.295 53.6488, -104.638 53.6488))"
granule,G1461013510-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-yjp-flxtr_2.jpg,ORNL_DAAC,1,2018-03-26T12:43:52Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-yjp-flxtr_2.jpg,0.075449,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461013537-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-asp-aux02.jpg,ORNL_DAAC,1,2018-03-26T12:43:58Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-asp-aux02.jpg,0.090043,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,53.6688,53.7402,-106.187,-106.187,"POLYGON ((-106.187 53.6688, -106.187 53.7402, -106.187 53.7402, -106.187 53.6688))"
granule,G1461013539-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-9bs-aux05_2.jpg,ORNL_DAAC,1,2018-03-26T12:43:58Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-9bs-aux05_2.jpg,0.101346,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,53.6488,53.9988,-105.295,-104.638,"POLYGON ((-104.638 53.6488, -104.638 53.9988, -105.295 53.9988, -105.295 53.6488, -104.638 53.6488))"
granule,G1461013575-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-ojp-flxtr_1.jpg,ORNL_DAAC,1,2018-03-26T12:44:05Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-ojp-flxtr_1.jpg,0.086964,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461013597-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-yjp-flxtr_1.jpg,ORNL_DAAC,1,2018-03-26T12:44:08Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-yjp-flxtr_1.jpg,0.081493,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461013642-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-05-31_ssa-ojp-flxtr_2.jpg,ORNL_DAAC,1,2018-03-26T12:44:15Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-05-31_ssa-ojp-flxtr_2.jpg,0.099447,,Both,1994-05-31T00:00:00.000Z,1994-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461013503-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-06-01_ssa-fen-flxtr_2.jpg,ORNL_DAAC,1,2018-03-26T12:43:52Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-06-01_ssa-fen-flxtr_2.jpg,0.042499,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1461013562-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-06-01_ssa-9jp-aux09.jpg,ORNL_DAAC,1,2018-03-26T12:44:00Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-06-01_ssa-9jp-aux09.jpg,0.088623,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,53.8661,54.1118,-105.112,-105.051,"POLYGON ((-105.051 53.8661, -105.051 54.1118, -105.112 54.1118, -105.112 53.8661, -105.051 53.8661))"
granule,G1461013567-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-06-01_ssa-obs_1.jpg,ORNL_DAAC,1,2018-03-26T12:44:01Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-06-01_ssa-obs_1.jpg,0.102136,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,53.6289,56.0034,-106.198,-97.4857,"POLYGON ((-97.48569999999999 53.6289, -97.48569999999999 56.0034, -106.198 56.0034, -106.198 53.6289, -97.48569999999999 53.6289))"
granule,G1461013570-ORNL_DAAC,BOREAS_RSS-03_Snapshots.94-06-01_ssa-9jp-aux07_1.jpg,ORNL_DAAC,1,2018-03-26T12:44:01Z,2017-09-14T00:00:00.000Z,BOREAS_RSS-03_Snapshots_289,BOREAS_RSS-03_Snapshots.94-06-01_ssa-9jp-aux07_1.jpg,0.088943,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,53.8661,54.1118,-105.112,-105.051,"POLYGON ((-105.051 53.8661, -105.051 54.1118, -105.112 54.1118, -105.112 53.8661, -105.051 53.8661))"
