cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422758692-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par5mcv.img,ORNL_DAAC,1,2017-09-28T16:40:10Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par5mcv.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758706-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par5m80.img,ORNL_DAAC,1,2017-09-28T16:40:10Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par5m80.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758715-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par5mav.img,ORNL_DAAC,1,2017-09-28T16:40:11Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par5mav.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758727-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par1mav09.img,ORNL_DAAC,1,2017-09-28T16:40:11Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par1mav09.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758735-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par3msd.img,ORNL_DAAC,1,2017-09-28T16:40:11Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par3msd.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758748-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par1msd09.img,ORNL_DAAC,1,2017-09-28T16:40:12Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par1msd09.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758765-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par1m8909.img,ORNL_DAAC,1,2017-09-28T16:40:12Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par1m8909.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758796-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par1mcv09.img,ORNL_DAAC,1,2017-09-28T16:40:13Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par1mcv09.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758827-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par5msd.img,ORNL_DAAC,1,2017-09-28T16:40:13Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par5msd.img,0.056143,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758862-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par3mcv.img,ORNL_DAAC,1,2017-09-28T16:40:14Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par3mcv.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758906-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par3m79.img,ORNL_DAAC,1,2017-09-28T16:40:14Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par3m79.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758951-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-par3mav.img,ORNL_DAAC,1,2017-09-28T16:40:15Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-par3mav.img,0.056163,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
granule,G1422758998-ORNL_DAAC,BOREAS_RSS10TOM.rss10-toms-sm1m7905.img,ORNL_DAAC,1,2017-09-28T16:40:15Z,1999-11-16T00:00:00.000Z,BOREAS_RSS10TOM_443,BOREAS_RSS10TOM.rss10-toms-sm1m7905.img,0.031587,,Day,1979-05-01T00:00:00.000Z,1989-09-30T00:00:00.000Z,41.5,65.5,-180.0,180.0,"POLYGON ((180 41.5, 180 65.5, -180 65.5, -180 41.5, 180 41.5))"
