cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422761786-ORNL_DAAC,BOREAS_RSS17FTH.jan-03-1994-mref-dg10.img,ORNL_DAAC,1,2017-09-28T16:43:50Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.jan-03-1994-mref-dg10.img,0.048027,,Day,1994-01-03T00:00:00.000Z,1994-01-03T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761794-ORNL_DAAC,BOREAS_RSS17FTH.jan-24-1994-mref-dg10.img,ORNL_DAAC,1,2017-09-28T16:43:54Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.jan-24-1994-mref-dg10.img,0.048027,,Day,1994-01-24T00:00:00.000Z,1994-01-24T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761873-ORNL_DAAC,BOREAS_RSS17FTH.feb-05-1994-mref-dg10.img,ORNL_DAAC,1,2017-09-28T16:43:55Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.feb-05-1994-mref-dg10.img,0.048027,,Day,1994-02-05T00:00:00.000Z,1994-02-05T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761788-ORNL_DAAC,BOREAS_RSS17FTH.feb-14-1994-mref-dg10.img,ORNL_DAAC,1,2017-09-28T16:43:51Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.feb-14-1994-mref-dg10.img,0.048027,,Day,1994-02-14T00:00:00.000Z,1994-02-14T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761792-ORNL_DAAC,BOREAS_RSS17FTH.feb-23-1994-mref-dg10.img,ORNL_DAAC,1,2017-09-28T16:43:53Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.feb-23-1994-mref-dg10.img,0.048027,,Day,1994-02-23T00:00:00.000Z,1994-02-23T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761911-ORNL_DAAC,BOREAS_RSS17FTH.feb-26-1994-mref-dg10.img,ORNL_DAAC,1,2017-09-28T16:43:55Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.feb-26-1994-mref-dg10.img,0.048027,,Day,1994-02-26T00:00:00.000Z,1994-02-26T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761795-ORNL_DAAC,BOREAS_RSS17FTH.mar-01-1994-refimg-dg20.img,ORNL_DAAC,1,2017-09-28T16:43:54Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.mar-01-1994-refimg-dg20.img,0.029873,,Day,1994-03-01T00:00:00.000Z,1994-03-01T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761791-ORNL_DAAC,BOREAS_RSS17FTH.mar-04-1994-mref-dg20.img,ORNL_DAAC,1,2017-09-28T16:43:52Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.mar-04-1994-mref-dg20.img,0.029873,,Day,1994-03-04T00:00:00.000Z,1994-03-04T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761790-ORNL_DAAC,BOREAS_RSS17FTH.mar-07-1994-mref-dg20.img,ORNL_DAAC,1,2017-09-28T16:43:52Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.mar-07-1994-mref-dg20.img,0.029873,,Day,1994-03-07T00:00:00.000Z,1994-03-07T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
granule,G1422761793-ORNL_DAAC,BOREAS_RSS17FTH.mar-10-1994-mref-dg20.img,ORNL_DAAC,1,2017-09-28T16:43:53Z,1999-12-17T00:00:00.000Z,BOREAS_RSS17FTH_484,BOREAS_RSS17FTH.mar-10-1994-mref-dg20.img,0.029873,,Day,1994-03-10T00:00:00.000Z,1994-03-10T00:00:00.000Z,50.09,59.98,-111.0,-93.5,"POLYGON ((-93.5 50.09, -93.5 59.98, -111 59.98, -111 50.09, -93.5 50.09))"
