cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422761444-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_reg999skn01.dat,ORNL_DAAC,1,2017-09-28T16:41:06Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_reg999skn01.dat,8.537233,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761447-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_reg999mdlsa.dat,ORNL_DAAC,1,2017-09-28T16:41:07Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_reg999mdlsa.dat,8.906767,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761448-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_trn999ffn03.dat,ORNL_DAAC,1,2017-09-28T16:41:07Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_trn999ffn03.dat,9.648818,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761449-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_ssaojpflxtr.dat,ORNL_DAAC,1,2017-09-28T16:41:07Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_ssaojpflxtr.dat,9.818072,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761450-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_nsa9bsythsa.dat,ORNL_DAAC,1,2017-09-28T16:41:08Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_nsa9bsythsa.dat,9.874984,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761451-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_ssa9oaflxtr.dat,ORNL_DAAC,1,2017-09-28T16:41:08Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_ssa9oaflxtr.dat,10.098717,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761452-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_trn999tpa03.dat,ORNL_DAAC,1,2017-09-28T16:41:09Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_trn999tpa03.dat,9.839705,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761453-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_nsaojpflxtr.dat,ORNL_DAAC,1,2017-09-28T16:41:09Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_nsaojpflxtr.dat,9.005896,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761454-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_reg999ronsa.dat,ORNL_DAAC,1,2017-09-28T16:41:10Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_reg999ronsa.dat,9.901091,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
granule,G1422761455-ORNL_DAAC,BOREAS_SAMSA94D.afm7sra94_reg999lynsa.dat,ORNL_DAAC,1,2017-09-28T16:41:10Z,1999-12-09T00:00:00.000Z,BOREAS_SAMSA94D_462,BOREAS_SAMSA94D.afm7sra94_reg999lynsa.dat,9.99182,,Day,1993-12-15T00:00:00.000Z,1994-12-31T00:00:00.000Z,52.15,56.886,-108.509,-97.874,"POLYGON ((-97.874 52.15, -97.874 56.886, -108.509 56.886, -108.509 52.15, -97.874 52.15))"
