cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1546809941-ORNL_DAAC,BOREAS_SOILTE1R.obs_tower_soil_map.img.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.obs_tower_soil_map.img.gz,0.004631,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.62,54.0,-106.209,-104.61,"POLYGON ((-104.61 53.62, -104.61 54, -106.209 54, -106.209 53.62, -104.61 53.62))"
granule,G1546809942-ORNL_DAAC,BOREAS_SOILTE1R.oa_tower_soil_poly.asc.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.oa_tower_soil_poly.asc.gz,0.000537,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.62,54.0,-106.209,-104.61,"POLYGON ((-104.61 53.62, -104.61 54, -106.209 54, -106.209 53.62, -104.61 53.62))"
granule,G1546809943-ORNL_DAAC,BOREAS_SOILTE1R.obs_tower_soil_poly.asc.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.obs_tower_soil_poly.asc.gz,0.000703,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.62,54.0,-106.209,-104.61,"POLYGON ((-104.61 53.62, -104.61 54, -106.209 54, -106.209 53.62, -104.61 53.62))"
granule,G1546809944-ORNL_DAAC,BOREAS_SOILTE1R.ojp_tower_soil_map.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.ojp_tower_soil_map.gz,0.000518,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6233,54.0031,-106.208,-104.607,"POLYGON ((-104.607 53.6233, -104.607 54.0031, -106.208 54.0031, -106.208 53.6233, -104.607 53.6233))"
granule,G1546809945-ORNL_DAAC,BOREAS_SOILTE1R.fen_tower_soil_poly.asc.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.fen_tower_soil_poly.asc.gz,0.0008,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.62,54.0,-106.209,-104.61,"POLYGON ((-104.61 53.62, -104.61 54, -106.209 54, -106.209 53.62, -104.61 53.62))"
granule,G1546809946-ORNL_DAAC,BOREAS_SOILTE1R.obs_tower_soil_map.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.obs_tower_soil_map.gz,0.001619,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6233,54.0031,-106.208,-104.607,"POLYGON ((-104.607 53.6233, -104.607 54.0031, -106.208 54.0031, -106.208 53.6233, -104.607 53.6233))"
granule,G1546809947-ORNL_DAAC,BOREAS_SOILTE1R.ojp_tower_soil_poly.asc.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.ojp_tower_soil_poly.asc.gz,0.000338,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.62,54.0,-106.209,-104.61,"POLYGON ((-104.61 53.62, -104.61 54, -106.209 54, -106.209 53.62, -104.61 53.62))"
granule,G1546809948-ORNL_DAAC,BOREAS_SOILTE1R.oa_tower_soil_map.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.oa_tower_soil_map.gz,0.000565,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6233,54.0031,-106.208,-104.607,"POLYGON ((-104.607 53.6233, -104.607 54.0031, -106.208 54.0031, -106.208 53.6233, -104.607 53.6233))"
granule,G1546809949-ORNL_DAAC,BOREAS_SOILTE1R.fen_tower_soil_map.img.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.fen_tower_soil_map.img.gz,0.003856,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.62,54.0,-106.209,-104.61,"POLYGON ((-104.61 53.62, -104.61 54, -106.209 54, -106.209 53.62, -104.61 53.62))"
granule,G1546809950-ORNL_DAAC,BOREAS_SOILTE1R.fen_tower_soil_map.gz,ORNL_DAAC,1,2018-09-10T13:31:15Z,1999-01-30T00:00:00.000Z,BOREAS_SOILTE1R_312,BOREAS_SOILTE1R.fen_tower_soil_map.gz,0.001173,,Day,1994-01-01T00:00:00.000Z,1994-12-31T00:00:00.000Z,53.6233,54.0031,-106.208,-104.607,"POLYGON ((-104.607 53.6233, -104.607 54.0031, -106.208 54.0031, -106.208 53.6233, -104.607 53.6233))"
