cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422762917-ORNL_DAAC,BOREAS_TE19MODL.output_7_carb_sobs20.txt,ORNL_DAAC,1,2017-09-28T16:44:06Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.output_7_carb_sobs20.txt,0.883719,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422762968-ORNL_DAAC,BOREAS_TE19MODL.output_9_accum_sobs20.txt,ORNL_DAAC,1,2017-09-28T16:44:07Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.output_9_accum_sobs20.txt,0.845305,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763014-ORNL_DAAC,BOREAS_TE19MODL.atm14Cfm,ORNL_DAAC,1,2017-09-28T16:44:07Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.atm14Cfm,0.000744,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763058-ORNL_DAAC,BOREAS_TE19MODL.nip.75-97.cli.sobs,ORNL_DAAC,1,2017-09-28T16:44:08Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.nip.75-97.cli.sobs,0.166765,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763103-ORNL_DAAC,BOREAS_TE19MODL.in.bcm.9,ORNL_DAAC,1,2017-09-28T16:44:08Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.in.bcm.9,0.000331,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763142-ORNL_DAAC,BOREAS_TE19MODL.output_8_sum_sobs20.txt,ORNL_DAAC,1,2017-09-28T16:44:09Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.output_8_sum_sobs20.txt,0.754863,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763183-ORNL_DAAC,BOREAS_TE19MODL.output_3_wat_sobs20.txt,ORNL_DAAC,1,2017-09-28T16:44:09Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.output_3_wat_sobs20.txt,1.09206,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763225-ORNL_DAAC,BOREAS_TE19MODL.output_1_gen_info_sobs20.txt,ORNL_DAAC,1,2017-09-28T16:44:10Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.output_1_gen_info_sobs20.txt,0.487023,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763269-ORNL_DAAC,BOREAS_TE19MODL.output_4_ice_sobs20.txt,ORNL_DAAC,1,2017-09-28T16:44:10Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.output_4_ice_sobs20.txt,0.875247,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
granule,G1422763310-ORNL_DAAC,BOREAS_TE19MODL.bcm9_source_code.for,ORNL_DAAC,1,2017-09-28T16:44:10Z,1999-12-17T00:00:00.000Z,BOREAS_TE19MODL_487,BOREAS_TE19MODL.bcm9_source_code.for,0.275732,,Day,1968-01-01T00:00:00.000Z,1995-12-31T00:00:00.000Z,50.0,60.0,-111.0,-94.0,"POLYGON ((-94 50, -94 60, -111 60, -111 50, -94 50))"
