cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424992694-ORNL_DAAC,BOREAS_TIMS0BIL.94106C1648.gz,ORNL_DAAC,1,2017-10-04T18:38:46Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106C1648.gz,1.219022,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992698-ORNL_DAAC,BOREAS_TIMS0BIL.94106F1625.gz,ORNL_DAAC,1,2017-10-04T18:38:48Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106F1625.gz,1.391038,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992701-ORNL_DAAC,BOREAS_TIMS0BIL.94106C1809.gz,ORNL_DAAC,1,2017-10-04T18:38:49Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106C1809.gz,0.31494,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992703-ORNL_DAAC,BOREAS_TIMS0BIL.94106A1648.gz,ORNL_DAAC,1,2017-10-04T18:38:50Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106A1648.gz,1.199043,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992717-ORNL_DAAC,BOREAS_TIMS0BIL.94106F1720.gz,ORNL_DAAC,1,2017-10-04T18:38:56Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106F1720.gz,1.015516,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992734-ORNL_DAAC,BOREAS_TIMS0BIL.94106B1625.gz,ORNL_DAAC,1,2017-10-04T18:39:03Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106B1625.gz,1.278291,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992746-ORNL_DAAC,BOREAS_TIMS0BIL.94106E1702.gz,ORNL_DAAC,1,2017-10-04T18:39:08Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106E1702.gz,1.048122,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992765-ORNL_DAAC,BOREAS_TIMS0BIL.94106E1648.gz,ORNL_DAAC,1,2017-10-04T18:39:18Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106E1648.gz,1.268659,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992769-ORNL_DAAC,BOREAS_TIMS0BIL.94106F1740.gz,ORNL_DAAC,1,2017-10-04T18:39:20Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106F1740.gz,0.956139,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992771-ORNL_DAAC,BOREAS_TIMS0BIL.94106F1702.gz,ORNL_DAAC,1,2017-10-04T18:39:21Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106F1702.gz,0.980189,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992782-ORNL_DAAC,BOREAS_TIMS0BIL.94106D1702.gz,ORNL_DAAC,1,2017-10-04T18:39:26Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106D1702.gz,1.021974,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992799-ORNL_DAAC,BOREAS_TIMS0BIL.94106D1740.gz,ORNL_DAAC,1,2017-10-04T18:39:32Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106D1740.gz,0.847473,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992818-ORNL_DAAC,BOREAS_TIMS0BIL.94106F1615.gz,ORNL_DAAC,1,2017-10-04T18:39:41Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106F1615.gz,1.087278,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
granule,G1424992836-ORNL_DAAC,BOREAS_TIMS0BIL.94106B1809.gz,ORNL_DAAC,1,2017-10-04T18:39:50Z,1999-01-30T00:00:00.000Z,BOREAS_TIMS0BIL_282,BOREAS_TIMS0BIL.94106B1809.gz,0.311806,,Day,1994-04-16T00:00:00.000Z,1994-04-16T00:00:00.000Z,53.42,56.25,-106.32,-97.23,"POLYGON ((-97.23 53.42, -97.23 56.25, -106.32 56.25, -106.32 53.42, -97.23 53.42))"
