cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422816491-ORNL_DAAC,DSP08_SURFPAR.94-06-01_ssa-ojp_albedo670.img,ORNL_DAAC,1,2017-09-28T17:36:11Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-06-01_ssa-ojp_albedo670.img,0.420008,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816528-ORNL_DAAC,DSP08_SURFPAR.94-06-01_ssa-ojp_fract-veg.img,ORNL_DAAC,1,2017-09-28T17:36:13Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-06-01_ssa-ojp_fract-veg.img,0.420008,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816544-ORNL_DAAC,DSP08_SURFPAR.94-06-01_ssa-ojp_albedo864.img,ORNL_DAAC,1,2017-09-28T17:36:14Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-06-01_ssa-ojp_albedo864.img,0.420008,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816551-ORNL_DAAC,DSP08_SURFPAR.94-06-01_ssa-ojp_lai.img,ORNL_DAAC,1,2017-09-28T17:36:14Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-06-01_ssa-ojp_lai.img,0.420008,,Both,1994-06-01T00:00:00.000Z,1994-06-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816469-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-ojp_lai.img,ORNL_DAAC,1,2017-09-28T17:36:09Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-ojp_lai.img,0.420008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816477-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-obs_lai.img,ORNL_DAAC,1,2017-09-28T17:36:10Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-obs_lai.img,0.240008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816484-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-obs_albedo864.img,ORNL_DAAC,1,2017-09-28T17:36:10Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-obs_albedo864.img,0.276008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816499-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-ojp_albedo670.img,ORNL_DAAC,1,2017-09-28T17:36:11Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-ojp_albedo670.img,0.420008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816506-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-obs_fract-veg.img,ORNL_DAAC,1,2017-09-28T17:36:11Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-obs_fract-veg.img,0.240008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816514-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-ojp_albedo864.img,ORNL_DAAC,1,2017-09-28T17:36:12Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-ojp_albedo864.img,0.420008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816521-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-ojp_fract-veg.img,ORNL_DAAC,1,2017-09-28T17:36:12Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-ojp_fract-veg.img,0.420008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816536-ORNL_DAAC,DSP08_SURFPAR.94-07-21_ssa-obs_albedo670.img,ORNL_DAAC,1,2017-09-28T17:36:13Z,2001-10-02T00:00:00.000Z,DSP08_SURFPAR_594,DSP08_SURFPAR.94-07-21_ssa-obs_albedo670.img,0.276008,,Both,1994-07-21T00:00:00.000Z,1994-07-21T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
