cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1461013831-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd144s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd144s.zip,0.320787,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013832-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd182s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd182s.zip,0.403561,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013833-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd019s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd019s.zip,0.576102,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013834-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd053s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd053s.zip,0.488664,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013835-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd113s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd113s.zip,0.750033,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013836-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd148s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd148s.zip,2.888153,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013837-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd145s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd145s.zip,0.392966,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013838-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd115s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd115s.zip,1.469546,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013839-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd061s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd061s.zip,1.658219,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013840-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd020s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd020s.zip,0.11542,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013841-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd056s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd056s.zip,0.240304,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013842-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd055s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd055s.zip,0.308465,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013843-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd059s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd059s.zip,0.385418,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013844-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd060s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd060s.zip,0.312485,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013845-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd147s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd147s.zip,0.060664,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013846-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd057s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd057s.zip,0.288617,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013847-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd058s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd058s.zip,0.282443,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013848-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd054s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd054s.zip,0.540666,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013849-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd114s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd114s.zip,0.912391,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
granule,G1461013850-ORNL_DAAC,Saskatchewan_Soils_125m_SSA.skd146s.zip,ORNL_DAAC,1,2018-03-26T12:46:01Z,2016-11-18T00:00:00.000Z,Saskatchewan_Soils_125m_SSA_1346,Saskatchewan_Soils_125m_SSA.skd146s.zip,0.301811,,Both,1980-01-01T00:00:00.000Z,2001-02-06T00:00:00.000Z,52.8618,55.0614,-110.451,-99.8739,"POLYGON ((-99.87390000000001 52.8618, -99.87390000000001 55.0614, -110.451 55.0614, -110.451 52.8618, -99.87390000000001 52.8618))"
