cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422816045-ORNL_DAAC,dsp04_ers1maps.94-09-07_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:42Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-09-07_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816051-ORNL_DAAC,dsp04_ers1maps.94-05-19_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:43Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-05-19_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816057-ORNL_DAAC,dsp04_ers1maps.94-02-26_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:43Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-02-26_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816064-ORNL_DAAC,dsp04_ers1maps.94-07-15_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:44Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-07-15_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816069-ORNL_DAAC,dsp04_ers1maps.94-12-10_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:44Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-12-10_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816076-ORNL_DAAC,dsp04_ers1maps.94-08-04_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:45Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-08-04_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816081-ORNL_DAAC,dsp04_ers1maps.94-08-21_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:45Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-08-21_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816088-ORNL_DAAC,dsp04_ers1maps.94-03-10_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:46Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-03-10_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816095-ORNL_DAAC,dsp04_ers1maps.94-05-02_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:46Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-05-02_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816102-ORNL_DAAC,dsp04_ers1maps.94-02-17_ers_ft.dat,ORNL_DAAC,1,2017-09-28T17:35:46Z,2001-10-02T00:00:00.000Z,dsp04_ers1maps_590,dsp04_ers1maps.94-02-17_ers_ft.dat,0.1584,,Both,1994-02-14T00:00:00.000Z,1994-12-14T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
