cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422816328-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-ojp_cc2.img,ORNL_DAAC,1,2017-09-28T17:36:01Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-ojp_cc2.img,0.049152,,Both,1994-02-07T00:00:00.000Z,1994-02-07T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816399-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-ojp_lai2.img,ORNL_DAAC,1,2017-09-28T17:36:06Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-ojp_lai2.img,0.049152,,Both,1994-02-07T00:00:00.000Z,1994-02-07T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816334-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-yjp_cc2.img,ORNL_DAAC,1,2017-09-28T17:36:02Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-yjp_cc2.img,0.018944,,Both,1994-02-08T00:00:00.000Z,1994-02-08T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816338-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-obs_cc1.img,ORNL_DAAC,1,2017-09-28T17:36:02Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-obs_cc1.img,0.397312,,Both,1994-02-08T00:00:00.000Z,1994-02-08T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816353-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-obs_lai2.img,ORNL_DAAC,1,2017-09-28T17:36:04Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-obs_lai2.img,0.003584,,Both,1994-02-08T00:00:00.000Z,1994-02-08T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816372-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-yjp_lai2.img,ORNL_DAAC,1,2017-09-28T17:36:04Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-yjp_lai2.img,0.018944,,Both,1994-02-08T00:00:00.000Z,1994-02-08T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816381-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-obs_cc2.img,ORNL_DAAC,1,2017-09-28T17:36:05Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-obs_cc2.img,0.003584,,Both,1994-02-08T00:00:00.000Z,1994-02-08T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816434-ORNL_DAAC,dsp06_casilai.94-02-07_ssa-obs_lai1.img,ORNL_DAAC,1,2017-09-28T17:36:07Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-07_ssa-obs_lai1.img,0.397312,,Both,1994-02-08T00:00:00.000Z,1994-02-08T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816309-ORNL_DAAC,dsp06_casilai.94-02-10_nsa-ojp_cc2.img,ORNL_DAAC,1,2017-09-28T17:36:00Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-10_nsa-ojp_cc2.img,0.004096,,Both,1994-02-10T00:00:00.000Z,1994-02-10T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816362-ORNL_DAAC,dsp06_casilai.94-02-10_nsa-obs_cc2.img,ORNL_DAAC,1,2017-09-28T17:36:04Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-10_nsa-obs_cc2.img,0.006144,,Both,1994-02-10T00:00:00.000Z,1994-02-10T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816389-ORNL_DAAC,dsp06_casilai.94-02-10_nsa-obs_cc1.img,ORNL_DAAC,1,2017-09-28T17:36:05Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-10_nsa-obs_cc1.img,0.67072,,Both,1994-02-10T00:00:00.000Z,1994-02-10T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422816407-ORNL_DAAC,dsp06_casilai.94-02-10_nsa-obs_lai1.img,ORNL_DAAC,1,2017-09-28T17:36:06Z,2001-10-02T00:00:00.000Z,dsp06_casilai_592,dsp06_casilai.94-02-10_nsa-obs_lai1.img,0.67072,,Both,1994-02-10T00:00:00.000Z,1994-02-10T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
