cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422817396-ORNL_DAAC,dsp10_moss_cover.moss02_10by5min.img,ORNL_DAAC,1,2017-09-28T17:37:06Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss02_10by5min.img,0.004096,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817404-ORNL_DAAC,dsp10_moss_cover.moss00_54km.img,ORNL_DAAC,1,2017-09-28T17:37:07Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss00_54km.img,0.000192,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817411-ORNL_DAAC,dsp10_moss_cover.moss06_54km.img,ORNL_DAAC,1,2017-09-28T17:37:07Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss06_54km.img,0.000192,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817418-ORNL_DAAC,dsp10_moss_cover.moss03_54km.img,ORNL_DAAC,1,2017-09-28T17:37:07Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss03_54km.img,0.000192,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817424-ORNL_DAAC,dsp10_moss_cover.moss05_2km.img,ORNL_DAAC,1,2017-09-28T17:37:08Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss05_2km.img,0.144816,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817431-ORNL_DAAC,dsp10_moss_cover.moss06_2km.img,ORNL_DAAC,1,2017-09-28T17:37:08Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss06_2km.img,0.144816,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817439-ORNL_DAAC,dsp10_moss_cover.moss06_10by5min.img,ORNL_DAAC,1,2017-09-28T17:37:09Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss06_10by5min.img,0.004096,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817448-ORNL_DAAC,dsp10_moss_cover.moss04_10by5min.img,ORNL_DAAC,1,2017-09-28T17:37:09Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss04_10by5min.img,0.004096,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817454-ORNL_DAAC,dsp10_moss_cover.moss02_2km.img,ORNL_DAAC,1,2017-09-28T17:37:10Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss02_2km.img,0.144816,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1422817462-ORNL_DAAC,dsp10_moss_cover.moss04_2km.img,ORNL_DAAC,1,2017-09-28T17:37:10Z,2001-10-02T00:00:00.000Z,dsp10_moss_cover_599,dsp10_moss_cover.moss04_2km.img,0.144816,,Both,1994-01-01T00:00:00.000Z,1995-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
