cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1425223921-ORNL_DAAC,hmet02_gridded.95-12-00_ud3.zip,ORNL_DAAC,1,2017-10-05T12:13:32Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.95-12-00_ud3.zip,10.104606,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223922-ORNL_DAAC,hmet02_gridded.96-06-00_ssa_pres2.zip,ORNL_DAAC,1,2017-10-05T12:13:33Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.96-06-00_ssa_pres2.zip,0.897464,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223923-ORNL_DAAC,hmet02_gridded.95-10-00_nsa_ta2.zip,ORNL_DAAC,1,2017-10-05T12:13:33Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.95-10-00_nsa_ta2.zip,0.865581,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223924-ORNL_DAAC,hmet02_gridded.95-02-00_ssa_ta2.zip,ORNL_DAAC,1,2017-10-05T12:13:33Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.95-02-00_ssa_ta2.zip,0.944508,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223925-ORNL_DAAC,hmet02_gridded.95-04-00_rsi3.zip,ORNL_DAAC,1,2017-10-05T12:13:34Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.95-04-00_rsi3.zip,7.492757,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223926-ORNL_DAAC,hmet02_gridded.96-01-00_ssa_precip2.zip,ORNL_DAAC,1,2017-10-05T12:13:34Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.96-01-00_ssa_precip2.zip,0.207179,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223927-ORNL_DAAC,hmet02_gridded.96-06-00_rsi3.zip,ORNL_DAAC,1,2017-10-05T12:13:35Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.96-06-00_rsi3.zip,10.039582,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223928-ORNL_DAAC,hmet02_gridded.96-04-00_ssa_ta2.zip,ORNL_DAAC,1,2017-10-05T12:13:35Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.96-04-00_ssa_ta2.zip,1.076299,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223929-ORNL_DAAC,hmet02_gridded.95-11-00_nsa_rsi2.zip,ORNL_DAAC,1,2017-10-05T12:13:36Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.95-11-00_nsa_rsi2.zip,0.596109,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
granule,G1425223930-ORNL_DAAC,hmet02_gridded.95-03-00_ssa_td2.zip,ORNL_DAAC,1,2017-10-05T12:13:36Z,2001-10-02T00:00:00.000Z,hmet02_gridded_607,hmet02_gridded.95-03-00_ssa_td2.zip,1.045687,,Both,1994-01-01T00:00:00.000Z,1997-01-01T00:00:00.000Z,48.0,60.0,-111.0,-90.0,"POLYGON ((-90 48, -90 60, -111 60, -111 48, -90 48))"
