cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1610469845-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_Nigeria.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_Nigeria.tif,20.296588,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,4.29036,6.6398,2.70606,8.65134,"POLYGON ((8.651339999999999 4.29036, 8.651339999999999 6.6398, 2.70606 6.6398, 2.70606 4.29036, 8.651339999999999 4.29036))"
granule,G1610469846-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_Panama.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_Panama.tif,13.29141,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,6.97208,10.2207,-83.0519,-77.3486,"POLYGON ((-77.3486 6.97208, -77.3486 10.2207, -83.0519 10.2207, -83.0519 6.97208, -77.3486 6.97208))"
granule,G1610469847-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_Micronesia.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_Micronesia.tif,70.196201,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,0.524017,10.4762,137.055,163.723,"POLYGON ((163.723 0.524017, 163.723 10.4762, 137.055 10.4762, 137.055 0.524017, 163.723 0.524017))"
granule,G1610469848-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_ReunionAndMauritius.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_ReunionAndMauritius.tif,3.504044,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,-21.732,-19.7501,54.4924,58.0002,"POLYGON ((58.0002 -21.732, 58.0002 -19.7501, 54.4924 -19.7501, 54.4924 -21.732, 58.0002 -21.732))"
granule,G1610469849-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Micronesia.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Micronesia.tif,70.167272,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,0.524017,10.4762,137.055,163.723,"POLYGON ((163.723 0.524017, 163.723 10.4762, 137.055 10.4762, 137.055 0.524017, 163.723 0.524017))"
granule,G1610469850-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_PapuaNewGuinea.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_PapuaNewGuinea.tif,74.444589,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,-12.094,-0.507628,140.993,157.155,"POLYGON ((157.155 -12.094, 157.155 -0.507628, 140.993 -0.507628, 140.993 -12.094, 157.155 -12.094))"
granule,G1610469851-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_Seychelles.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_Seychelles.tif,26.17538,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,-10.5087,-3.23534,46.0379,56.4409,"POLYGON ((56.4409 -10.5087, 56.4409 -3.23534, 46.0379 -3.23534, 46.0379 -10.5087, 56.4409 -10.5087))"
granule,G1610469852-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Togo.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Togo.tif,0.104091,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,6.13137,6.31471,1.20009,1.60231,"POLYGON ((1.60231 6.13137, 1.60231 6.31471, 1.20009 6.31471, 1.20009 6.13137, 1.60231 6.13137))"
granule,G1610469853-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_Qatar.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_Qatar.tif,1.947459,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,24.5467,26.217,50.7224,52.469,"POLYGON ((52.469 24.5467, 52.469 26.217, 50.7224 26.217, 50.7224 24.5467, 52.469 24.5467))"
granule,G1610469854-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_SaintLucia.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_SaintLucia.tif,0.05438,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,13.7451,14.0796,-61.0103,-60.888,"POLYGON ((-60.888 13.7451, -60.888 14.0796, -61.0103 14.0796, -61.0103 13.7451, -60.888 13.7451))"
granule,G1610469855-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Cambodia.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Cambodia.tif,6.116738,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,8.84427,12.2554,102.445,104.906,"POLYGON ((104.906 8.84427, 104.906 12.2554, 102.445 12.2554, 102.445 8.84427, 104.906 8.84427))"
granule,G1610469856-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_SierraLeone.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_SierraLeone.tif,5.849572,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,6.97396,9.28507,-13.2973,-11.5598,"POLYGON ((-11.5598 6.97396, -11.5598 9.285069999999999, -13.2973 9.285069999999999, -13.2973 6.97396, -11.5598 6.97396))"
granule,G1610469857-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_SouthAfrica.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_SouthAfrica.tif,2.842294,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,-29.0,-26.85,30.9999,33.1151,"POLYGON ((33.1151 -29, 33.1151 -26.85, 30.9999 -26.85, 30.9999 -29, 33.1151 -29))"
granule,G1610469858-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_TurksAndCaicosIslands.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_agb_TurksAndCaicosIslands.tif,1.275911,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,21.1241,22.0116,-72.4997,-71.0533,"POLYGON ((-71.05329999999999 21.1241, -71.05329999999999 22.0116, -72.4997 22.0116, -72.4997 21.1241, -71.05329999999999 21.1241))"
granule,G1610469859-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_HongKong.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_HongKong.tif,0.297811,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,22.1368,22.5596,113.82,114.423,"POLYGON ((114.423 22.1368, 114.423 22.5596, 113.82 22.5596, 113.82 22.1368, 114.423 22.1368))"
granule,G1610469860-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_Thailand.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hmax95_Thailand.tif,26.788748,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,6.11663,13.9116,97.3938,103.081,"POLYGON ((103.081 6.11663, 103.081 13.9116, 97.3938 13.9116, 97.3938 6.11663, 103.081 6.11663))"
granule,G1610469861-ORNL_DAAC,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Guam.tif,ORNL_DAAC,1,2019-05-03T14:20:47Z,2019-05-02T00:00:00.000Z,CMS_Global_Map_Mangrove_Canopy_1665,CMS_Global_Map_Mangrove_Canopy.Mangrove_hba95_Guam.tif,0.220257,,Both,2000-01-01T00:00:00.000Z,2009-12-31T00:00:00.000Z,13.2267,13.6625,144.607,144.968,"POLYGON ((144.968 13.2267, 144.968 13.6625, 144.607 13.6625, 144.607 13.2267, 144.968 13.2267))"
