cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1546814420-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta095.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta095.laz,31.446465,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8651,-18.8559,36.2263,36.2359,"POLYGON ((36.2359 -18.8651, 36.2359 -18.8559, 36.2263 -18.8559, 36.2263 -18.8651, 36.2359 -18.8651))"
granule,G1546814421-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta101.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta101.laz,22.401664,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8641,-18.855,36.2831,36.2918,"POLYGON ((36.2918 -18.8641, 36.2918 -18.855, 36.2831 -18.855, 36.2831 -18.8641, 36.2918 -18.8641))"
granule,G1546814422-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta132.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta132.laz,15.529183,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8928,-18.8836,36.1889,36.1985,"POLYGON ((36.1985 -18.8928, 36.1985 -18.8836, 36.1889 -18.8836, 36.1889 -18.8928, 36.1985 -18.8928))"
granule,G1546814423-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta102.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta102.laz,3.021912,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8713,-18.8661,36.1676,36.1697,"POLYGON ((36.1697 -18.8713, 36.1697 -18.8661, 36.1676 -18.8661, 36.1676 -18.8713, 36.1697 -18.8713))"
granule,G1546814424-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta005.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta005.laz,12.524552,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8021,-18.7929,36.2157,36.2253,"POLYGON ((36.2253 -18.8021, 36.2253 -18.7929, 36.2157 -18.7929, 36.2157 -18.8021, 36.2253 -18.8021))"
granule,G1546814425-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta002.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta002.laz,5.822438,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.7928,-18.7875,36.2345,36.2404,"POLYGON ((36.2404 -18.7928, 36.2404 -18.7875, 36.2345 -18.7875, 36.2345 -18.7928, 36.2404 -18.7928))"
granule,G1546814426-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta054.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta054.laz,25.032348,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.838,-18.8289,36.2258,36.2354,"POLYGON ((36.2354 -18.838, 36.2354 -18.8289, 36.2258 -18.8289, 36.2258 -18.838, 36.2354 -18.838))"
granule,G1546814427-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta112.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta112.laz,17.696858,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8736,-18.8644,36.2549,36.2645,"POLYGON ((36.2645 -18.8736, 36.2645 -18.8644, 36.2549 -18.8644, 36.2549 -18.8736, 36.2645 -18.8736))"
granule,G1546814428-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta079.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta079.laz,27.248954,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.8564,-18.8472,36.2072,36.2168,"POLYGON ((36.2168 -18.8564, 36.2168 -18.8472, 36.2072 -18.8472, 36.2072 -18.8564, 36.2168 -18.8564))"
granule,G1546814429-ORNL_DAAC,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta022.laz,ORNL_DAAC,1,2018-09-10T13:42:27Z,2017-12-06T00:00:00.000Z,CMS_LiDAR_Point_Cloud_Zambezi_1521,CMS_LiDAR_Point_Cloud_Zambezi.ZambeziDelta022.laz,14.315591,,Both,2014-05-05T00:00:00.000Z,2014-05-05T00:00:00.000Z,-18.821,-18.8118,36.1686,36.1782,"POLYGON ((36.1782 -18.821, 36.1782 -18.8118, 36.1686 -18.8118, 36.1686 -18.821, 36.1782 -18.821))"
