cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_title,coll_version,coll_doi,coll_abstract,coll_shortname,coll_status,coll_proclvl,coll_proclvl_desc,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
collection,C1577350324-ORNL_DAAC,"Aboveground Biomass High-Resolution Maps for Selected US Tidal Marshes, 2015",ORNL_DAAC,6,2019-10-15T22:07:58Z,,"Aboveground Biomass High-Resolution Maps for Selected US Tidal Marshes, 2015",1,10.3334/ORNLDAAC/1610,"This dataset provides maps of aboveground tidal marsh biomass (g/m2) at 30m resolution for six estuarine regions of the conterminous United States: Cape Cod, MA; Chesapeake Bay, MD, Everglades, FL; Mississippi Delta, LA; San Francisco Bay, CA; and Puget Sound, WA. Estuarine and palustrine emergent tidal marsh areas were based on a 2010 NOAA Coastal Change Analysis Program (C-CAP) map. Aboveground biomass maps were generated from a random forest model driven by Landsat vegetation indices and a national scale dataset of field-measured aboveground biomass. The final model, driven by six Landsat vegetation indices, with the soil adjusted vegetation index as the most important, successfully predicted biomass for a range of marsh plant functional types defined by height, leaf angle, and growth form. Biomass can be converted to carbon stocks using a mean plant carbon content of 44.1%.",Tidal_Marsh_Biomass_US_1610,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,25.08,47.12,-122.73,-69.93,"POLYGON ((-69.93000000000001 25.08, -69.93000000000001 47.12, -122.73 47.12, -122.73 25.08, -69.93000000000001 25.08))"
collection,C1592242432-ORNL_DAAC,"Aboveground Biomass, Landcover, and Degradation, Kalimantan Forests, Indonesia, 2014",ORNL_DAAC,2,2019-04-15T18:55:58Z,,"Aboveground Biomass, Landcover, and Degradation, Kalimantan Forests, Indonesia, 2014",1,10.3334/ORNLDAAC/1645,"This dataset provides estimates of aboveground biomass, percent canopy cover, mean canopy height, landcover, and forest degradation index products for forests in Kalimantan, Indonesia (Island of Borneo) representative of conditions in late 2014. Data were combined from several sources including field sampling, airborne lidar, satellite measurements, a forest-type land cover map, and integrated into a random forest algorithm to produce these estimates.",CMS_AGB_Landcover_Indonesia_1645,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,-5.0,8.0,108.0,120.0,"POLYGON ((120 -5, 120 8, 108 8, 108 -5, 120 -5))"
collection,C1656657731-ORNL_DAAC,"Annual Aboveground Biomass Maps for Forests in the Northwestern USA, 2000-2016",ORNL_DAAC,1,2019-11-15T12:25:54Z,,"Annual Aboveground Biomass Maps for Forests in the Northwestern USA, 2000-2016",1,10.3334/ORNLDAAC/1719,"This dataset provides annual maps of aboveground biomass (AGB, Mg/ha) for forests in Washington, Oregon, Idaho, and western Montana, USA, for the years 2000-2016, at a spatial resolution of 30 meters. Tree measurements were summarized with the Fire and Fuels Extension of the Forest Vegetation Simulator (FFE-FVS) to estimate AGB in field plots contributed by stakeholders, then lidar was used to predict plot-level AGB using the Random Forests machine learning algorithm. The machine learning outputs were used to predict AGB from Landsat time series imagery processed through LandTrendr, climate metrics generated from 30-year climate normals, and topographic metrics generated from a 30-m Shuttle Radar Topography Mission (SRTM) digital elevation model (DEM). The non-forested pixels were masked using the PALSAR 2009 forest/nonforest mask.",CMS_AGB_NW_USA_1719,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,39.81,50.79,-127.52,-110.31,"POLYGON ((-110.31 39.81, -110.31 50.79, -127.52 50.79, -127.52 39.81, -110.31 39.81))"
collection,C1643345578-ORNL_DAAC,"Annual Burned Area from Landsat, Mawas, Central Kalimantan, Indonesia, 1997-2015",ORNL_DAAC,1,2019-10-02T12:33:52Z,,"Annual Burned Area from Landsat, Mawas, Central Kalimantan, Indonesia, 1997-2015",1,10.3334/ORNLDAAC/1708,"This dataset provides maps of annual burned area for the Mawas region of Central Kalimantan, Indonesia from 1997 through 2015. Landsat imagery (TM, ETM+, OLI/TIR) at 30 m resolution was obtained for this 19-year period, including the variables surface reflectance, brightness temperature, and pixel quality assurance, plus the indices NDVI, NDMI, NBR, NBR2, SAVI, and MSAVI. The MODIS active fire product (MCD14) was used to define when fires occurred. Random Forest classifications were used to separate burned and unburned 30-m pixels with inputs of composites of Landsat indices and thermal bands, based on the pre- and post-fire values.",Annual_Burned_Area_Maps_1708,COMPLETE,3,Variables mapped on uniform space-time grid scales with completeness and consistency,,,-2.5,-2.21,114.39,114.61,"POLYGON ((114.61 -2.5, 114.61 -2.21, 114.39 -2.21, 114.39 -2.5, 114.61 -2.5))"
collection,C1226373058-ORNL_DAAC,"Annual wildland fire emissions (WFEIS v0.5) for Conterminous US and Alaska, 2001-2013",ORNL_DAAC,23,2019-04-15T18:54:21Z,,"Annual wildland fire emissions (WFEIS v0.5) for Conterminous US and Alaska, 2001-2013",1,10.3334/ORNLDAAC/1306,"This data set contains annual modeled estimates of wildland fire emissions at 0.01 degree (~1-km) spatial resolution from the Wildland Fire Emissions Information System (WFEIS v0.5) for the conterminous U.S. (CONUS) and Alaska for 2001 through 2013. WFEIS is a web-based tool that provides resources to quantify emissions from past fires and output results as spatial data files (French et al., 2014). The data set includes emissions estimates of carbon (C), carbon monoxide (CO), carbon dioxide (CO2), methane (CH4), other non-methane hydrocarbons (NMHC), and particulate matter (PM) as well as estimates of above-ground biomass, total fuel availability, and consumption estimates.",CMS_WFEIS_CONUS-AK_1306,COMPLETE,4,model products,,,24.2,71.41,-178.22,-65.0,"POLYGON ((-65 24.2, -65 71.41, -178.22 71.41, -178.22 24.2, -65 24.2))"
collection,C1424798922-GES_DISC,CMSFluxFire_1,GES_DISC,11,2019-12-11T19:23:19Z,,Carbon Monitoring System Carbon Flux for Fire L4 V1 (CMSFluxFire) at GES DISC,1,10.5067/3C1Y3EJB1E7Q,"This dataset provides the Carbon Flux for Fires.

The NASA Carbon Monitoring System (CMS) is designed to make significant contributions in characterizing, quantifying, understanding, and predicting the evolution of global carbon sources and sinks through improved monitoring of carbon stocks and fluxes. The System will use the full range of NASA satellite observations and modeling/analysis capabilities to establish the accuracy, quantitative uncertainties, and utility of products for supporting national and international policy, regulatory, and management activities. CMS will maintain a global emphasis while providing finer scale regional information, utilizing space-based and surface-based data and will rapidly initiate generation and distribution of products both for user evaluation and to inform near-term policy development and planning.",CMSFluxFire,COMPLETE,4,,,,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
collection,C1424798924-GES_DISC,CMSFluxFossilfuel_1,GES_DISC,11,2019-12-11T19:23:21Z,,Carbon Monitoring System Flux for Fossil Fuel L4 V1 (CMSFluxFossilfuel) at GES DISC,1,10.5067/JC6BC3CPEJXQ,"This dataset provides the Carbon Flux for Fossil Fuel.

The NASA Carbon Monitoring System (CMS) is designed to make significant contributions in characterizing, quantifying, understanding, and predicting the evolution of global carbon sources and sinks through improved monitoring of carbon stocks and fluxes. The System will use the full range of NASA satellite observations and modeling/analysis capabilities to establish the accuracy, quantitative uncertainties, and utility of products for supporting national and international policy, regulatory, and management activities. CMS will maintain a global emphasis while providing finer scale regional information, utilizing space-based and surface-based data and will rapidly initiate generation and distribution of products both for user evaluation and to inform near-term policy development and planning.",CMSFluxFossilfuel,COMPLETE,4,,,,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
collection,C1424798927-GES_DISC,CMSFluxOcean_1,GES_DISC,11,2019-12-11T19:23:24Z,,Carbon Monitoring System Flux for Ocean Carbon L4 V1 (CMSFluxOcean) at GES DISC,1,10.5067/96SSC2AOLE3Z,"This dataset provides the Carbon Flux for Ocean Carbon.

The NASA Carbon Monitoring System (CMS) is designed to make significant contributions in characterizing, quantifying, understanding, and predicting the evolution of global carbon sources and sinks through improved monitoring of carbon stocks and fluxes. The System will use the full range of NASA satellite observations and modeling/analysis capabilities to establish the accuracy, quantitative uncertainties, and utility of products for supporting national and international policy, regulatory, and management activities. CMS will maintain a global emphasis while providing finer scale regional information, utilizing space-based and surface-based data and will rapidly initiate generation and distribution of products both for user evaluation and to inform near-term policy development and planning.",CMSFluxOcean,COMPLETE,4,,,,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
collection,C1424798923-GES_DISC,CMSFluxFirepost_1,GES_DISC,11,2019-12-11T19:23:20Z,,Carbon Monitoring System Flux for Posterior Fire Carbon L4 V1 (CMSFluxFirepost) at GES DISC,1,10.5067/N3HM4V0JZVLB,"This dataset provides the Carbon Flux for Fires.

The NASA Carbon Monitoring System (CMS) is designed to make significant contributions in characterizing, quantifying, understanding, and predicting the evolution of global carbon sources and sinks through improved monitoring of carbon stocks and fluxes. The System will use the full range of NASA satellite observations and modeling/analysis capabilities to establish the accuracy, quantitative uncertainties, and utility of products for supporting national and international policy, regulatory, and management activities. CMS will maintain a global emphasis while providing finer scale regional information, utilizing space-based and surface-based data and will rapidly initiate generation and distribution of products both for user evaluation and to inform near-term policy development and planning.",CMSFluxFirepost,COMPLETE,4,,,,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
collection,C1424798928-GES_DISC,CMSFluxTotalpost_1,GES_DISC,11,2019-12-11T19:23:25Z,,Carbon Monitoring System Flux for Posterior Total Carbon L4 V1 (CMSFluxTotalpost) at GES DISC,1,10.5067/QCBSYYY4CENP,"This dataset provides the Carbon Flux for Posterior Total Carbon.

The NASA Carbon Monitoring System (CMS) is designed to make significant contributions in characterizing, quantifying, understanding, and predicting the evolution of global carbon sources and sinks through improved monitoring of carbon stocks and fluxes. The System will use the full range of NASA satellite observations and modeling/analysis capabilities to establish the accuracy, quantitative uncertainties, and utility of products for supporting national and international policy, regulatory, and management activities. CMS will maintain a global emphasis while providing finer scale regional information, utilizing space-based and surface-based data and will rapidly initiate generation and distribution of products both for user evaluation and to inform near-term policy development and planning.",CMSFluxTotalpost,COMPLETE,4,,,,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
