cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1608830374-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_pr.nc4,ORNL_DAAC,1,2019-04-26T19:40:34Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_pr.nc4,0.571141,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.9927,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.9927 19.9381, -67.9927 16.8444, -64.1195 16.8444))"
granule,G1608830388-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_hi.nc4,ORNL_DAAC,1,2019-04-26T19:40:39Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_hi.nc4,1.044454,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,17.9639,23.5186,-160.306,-154.772,"POLYGON ((-154.772 17.9639, -154.772 23.5186, -160.306 23.5186, -160.306 17.9639, -154.772 17.9639))"
granule,G1608830429-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_tmin_annavg_1980_na.tif,ORNL_DAAC,1,2019-04-26T19:40:44Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_tmin_annavg_1980_na.tif,77.865688,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
granule,G1608830447-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_vp_annavg_1980_na.nc4,ORNL_DAAC,1,2019-04-26T19:40:45Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_vp_annavg_1980_na.nc4,419.37505,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
granule,G1608830474-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_vp_annavg_1980_hi.nc4,ORNL_DAAC,1,2019-04-26T19:40:49Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_vp_annavg_1980_hi.nc4,1.056724,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,17.9639,23.5186,-160.306,-154.772,"POLYGON ((-154.772 17.9639, -154.772 23.5186, -160.306 23.5186, -160.306 17.9639, -154.772 17.9639))"
granule,G1608830547-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_na.nc4,ORNL_DAAC,1,2019-04-26T19:40:56Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_na.nc4,412.217054,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
granule,G1608830819-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_tmax_annavg_1980_pr.nc4,ORNL_DAAC,1,2019-04-26T19:41:16Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_tmax_annavg_1980_pr.nc4,0.57771,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.9927,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.9927 19.9381, -67.9927 16.8444, -64.1195 16.8444))"
granule,G1608831422-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_hi.tif,ORNL_DAAC,1,2019-04-26T19:41:41Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_hi.tif,0.077679,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,17.9639,23.5186,-160.306,-154.772,"POLYGON ((-154.772 17.9639, -154.772 23.5186, -160.306 23.5186, -160.306 17.9639, -154.772 17.9639))"
granule,G1608831479-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_tmin_annavg_1980_pr.tif,ORNL_DAAC,1,2019-04-26T19:41:49Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_tmin_annavg_1980_pr.tif,0.0559,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.9927,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.9927 19.9381, -67.9927 16.8444, -64.1195 16.8444))"
granule,G1608831497-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_pr.tif,ORNL_DAAC,1,2019-04-26T19:41:51Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_pr.tif,0.045067,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.9927,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.9927 19.9381, -67.9927 16.8444, -64.1195 16.8444))"
granule,G1608831504-ORNL_DAAC,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_na.tif,ORNL_DAAC,1,2019-04-26T19:41:52Z,2019-04-26T00:00:00.000Z,Daymet_V3_Annual_Climatology_1343,Daymet_V3_Annual_Climatology.daymet_v3_prcp_annttl_1980_na.tif,50.218492,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
