cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1628207865-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_na.nc4,ORNL_DAAC,1,2019-08-08T20:01:32Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_na.nc4,683.292383,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
granule,G1628207867-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_vp_monavg_1980_pr.nc4,ORNL_DAAC,1,2019-08-08T20:01:32Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_vp_monavg_1980_pr.nc4,0.828011,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.1195,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.1195 19.9381, -67.1195 16.8444, -64.1195 16.8444))"
granule,G1628207928-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_prcp_monttl_1980_na.nc4,ORNL_DAAC,1,2019-08-08T20:01:37Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_prcp_monttl_1980_na.nc4,548.493728,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
granule,G1628207948-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_vp_monavg_1980_pr.tif,ORNL_DAAC,1,2019-08-08T20:01:37Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_vp_monavg_1980_pr.tif,0.499149,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.1195,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.1195 19.9381, -67.1195 16.8444, -64.1195 16.8444))"
granule,G1628207991-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_prcp_monttl_1980_hi.tif,ORNL_DAAC,1,2019-08-08T20:01:43Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_prcp_monttl_1980_hi.tif,0.715909,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,17.9639,23.5186,-160.306,-154.772,"POLYGON ((-154.772 17.9639, -154.772 23.5186, -160.306 23.5186, -160.306 17.9639, -154.772 17.9639))"
granule,G1628208024-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_pr.tif,ORNL_DAAC,1,2019-08-08T20:01:43Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_pr.tif,0.472747,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.1195,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.1195 19.9381, -67.1195 16.8444, -64.1195 16.8444))"
granule,G1628208089-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_vp_monavg_1980_hi.tif,ORNL_DAAC,1,2019-08-08T20:01:49Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_vp_monavg_1980_hi.tif,0.909406,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,17.9639,23.5186,-160.306,-154.772,"POLYGON ((-154.772 17.9639, -154.772 23.5186, -160.306 23.5186, -160.306 17.9639, -154.772 17.9639))"
granule,G1628208144-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_tmax_monavg_1980_pr.nc4,ORNL_DAAC,1,2019-08-08T20:01:55Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_tmax_monavg_1980_pr.nc4,0.788763,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.1195,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.1195 19.9381, -67.1195 16.8444, -64.1195 16.8444))"
granule,G1628208647-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_pr.nc4,ORNL_DAAC,1,2019-08-08T20:02:12Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_pr.nc4,0.790645,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,16.8444,19.9381,-67.1195,-64.1195,"POLYGON ((-64.1195 16.8444, -64.1195 19.9381, -67.1195 19.9381, -67.1195 16.8444, -64.1195 16.8444))"
granule,G1628208826-ORNL_DAAC,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_na.tif,ORNL_DAAC,1,2019-08-08T20:02:15Z,2019-08-08T00:00:00.000Z,Daymet_V3_Monthly_Climatology_1345,Daymet_V3_Monthly_Climatology.daymet_v3_tmin_monavg_1980_na.tif,670.521797,,Both,1980-01-01T00:00:00.000Z,1980-12-31T00:00:00.000Z,14.533,83.211,-179.183,-52.606,"POLYGON ((-52.606 14.533, -52.606 83.211, -179.183 83.211, -179.183 14.533, -52.606 14.533))"
