cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422681424-ORNL_DAAC,FIFE_BRUT_SON.7146n003.wbr,ORNL_DAAC,1,2017-09-28T15:32:12Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7146n003.wbr,0.02056,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422681803-ORNL_DAAC,FIFE_BRUT_SON.7146n001.wbr,ORNL_DAAC,1,2017-09-28T15:32:36Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7146n001.wbr,0.009431,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422682629-ORNL_DAAC,FIFE_BRUT_SON.7146n004.wbr,ORNL_DAAC,1,2017-09-28T15:33:25Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7146n004.wbr,0.030955,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422682125-ORNL_DAAC,FIFE_BRUT_SON.7148n006.wbr,ORNL_DAAC,1,2017-09-28T15:32:54Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7148n006.wbr,0.030348,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422685801-ORNL_DAAC,FIFE_BRUT_SON.7148n008.wbr,ORNL_DAAC,1,2017-09-28T15:34:19Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7148n008.wbr,0.039452,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422686078-ORNL_DAAC,FIFE_BRUT_SON.7148n007.wbr,ORNL_DAAC,1,2017-09-28T15:34:36Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7148n007.wbr,0.031106,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422686196-ORNL_DAAC,FIFE_BRUT_SON.7148n005.wbr,ORNL_DAAC,1,2017-09-28T15:34:43Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7148n005.wbr,0.040317,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422681354-ORNL_DAAC,FIFE_BRUT_SON.7149n013.wbr,ORNL_DAAC,1,2017-09-28T15:32:08Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7149n013.wbr,0.031333,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422682064-ORNL_DAAC,FIFE_BRUT_SON.7149n010.wbr,ORNL_DAAC,1,2017-09-28T15:32:50Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7149n010.wbr,0.014935,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422682478-ORNL_DAAC,FIFE_BRUT_SON.7149n011.wbr,ORNL_DAAC,1,2017-09-28T15:33:15Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7149n011.wbr,0.031215,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422682574-ORNL_DAAC,FIFE_BRUT_SON.7149n014.wbr,ORNL_DAAC,1,2017-09-28T15:33:22Z,1994-07-24T00:00:00.000Z,FIFE_BRUT_SON_15,FIFE_BRUT_SON.7149n014.wbr,0.007548,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
