cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422692894-ORNL_DAAC,FIFE_CLD_CAM.7064xccp.ccm,ORNL_DAAC,1,2017-09-28T15:38:57Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7064xccp.ccm,0.001726,,Both,1987-03-05T00:00:00.000Z,1987-03-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422694912-ORNL_DAAC,FIFE_CLD_CAM.7065xccp.ccm,ORNL_DAAC,1,2017-09-28T15:39:36Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7065xccp.ccm,0.001773,,Both,1987-03-06T00:00:00.000Z,1987-03-06T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422694027-ORNL_DAAC,FIFE_CLD_CAM.7066xccp.ccm,ORNL_DAAC,1,2017-09-28T15:39:07Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7066xccp.ccm,0.002275,,Both,1987-03-07T00:00:00.000Z,1987-03-07T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422698617-ORNL_DAAC,FIFE_CLD_CAM.7067xccp.ccm,ORNL_DAAC,1,2017-09-28T15:41:42Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7067xccp.ccm,0.000871,,Both,1987-03-08T00:00:00.000Z,1987-03-08T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422698467-ORNL_DAAC,FIFE_CLD_CAM.7068xccp.ccm,ORNL_DAAC,1,2017-09-28T15:41:33Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7068xccp.ccm,0.001775,,Both,1987-03-09T00:00:00.000Z,1987-03-09T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422695097-ORNL_DAAC,FIFE_CLD_CAM.7069xccp.ccm,ORNL_DAAC,1,2017-09-28T15:39:47Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7069xccp.ccm,0.002173,,Both,1987-03-10T00:00:00.000Z,1987-03-10T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422694826-ORNL_DAAC,FIFE_CLD_CAM.7070xccp.ccm,ORNL_DAAC,1,2017-09-28T15:39:31Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7070xccp.ccm,0.001872,,Both,1987-03-11T00:00:00.000Z,1987-03-11T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422697753-ORNL_DAAC,FIFE_CLD_CAM.7071xccp.ccm,ORNL_DAAC,1,2017-09-28T15:40:45Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7071xccp.ccm,0.002175,,Both,1987-03-12T00:00:00.000Z,1987-03-12T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422694372-ORNL_DAAC,FIFE_CLD_CAM.7072xccp.ccm,ORNL_DAAC,1,2017-09-28T15:39:13Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7072xccp.ccm,0.002273,,Both,1987-03-13T00:00:00.000Z,1987-03-13T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422697640-ORNL_DAAC,FIFE_CLD_CAM.7073xccp.ccm,ORNL_DAAC,1,2017-09-28T15:40:38Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7073xccp.ccm,0.00207,,Both,1987-03-14T00:00:00.000Z,1987-03-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422696947-ORNL_DAAC,FIFE_CLD_CAM.7075xccp.ccm,ORNL_DAAC,1,2017-09-28T15:40:12Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7075xccp.ccm,0.001875,,Both,1987-03-16T00:00:00.000Z,1987-03-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422698127-ORNL_DAAC,FIFE_CLD_CAM.7076xccp.ccm,ORNL_DAAC,1,2017-09-28T15:41:09Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7076xccp.ccm,0.001875,,Both,1987-03-17T00:00:00.000Z,1987-03-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422694183-ORNL_DAAC,FIFE_CLD_CAM.7077xccp.ccm,ORNL_DAAC,1,2017-09-28T15:39:10Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7077xccp.ccm,0.00227,,Both,1987-03-18T00:00:00.000Z,1987-03-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422698593-ORNL_DAAC,FIFE_CLD_CAM.7078xccp.ccm,ORNL_DAAC,1,2017-09-28T15:41:41Z,1994-07-24T00:00:00.000Z,FIFE_CLD_CAM_28,FIFE_CLD_CAM.7078xccp.ccm,0.002073,,Both,1987-03-19T00:00:00.000Z,1987-03-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
