cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422707357-ORNL_DAAC,FIFE_HMON_MET.1858xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:23Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1858xccp.hmn,0.000998,,Day,1858-01-01T00:00:00.000Z,1858-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707566-ORNL_DAAC,FIFE_HMON_MET.1859xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:29Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1859xccp.hmn,0.001037,,Day,1859-01-01T00:00:00.000Z,1859-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707550-ORNL_DAAC,FIFE_HMON_MET.1860xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:28Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1860xccp.hmn,0.001033,,Day,1860-01-01T00:00:00.000Z,1860-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422709007-ORNL_DAAC,FIFE_HMON_MET.1861xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:35Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1861xccp.hmn,0.001036,,Day,1861-01-01T00:00:00.000Z,1861-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707492-ORNL_DAAC,FIFE_HMON_MET.1862xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:27Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1862xccp.hmn,0.001034,,Day,1862-01-01T00:00:00.000Z,1862-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707714-ORNL_DAAC,FIFE_HMON_MET.1863xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:33Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1863xccp.hmn,0.001038,,Day,1863-01-01T00:00:00.000Z,1863-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707426-ORNL_DAAC,FIFE_HMON_MET.1864xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:25Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1864xccp.hmn,0.001035,,Day,1864-01-01T00:00:00.000Z,1864-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707387-ORNL_DAAC,FIFE_HMON_MET.1865xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:24Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1865xccp.hmn,0.001036,,Day,1865-01-01T00:00:00.000Z,1865-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707462-ORNL_DAAC,FIFE_HMON_MET.1866xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:26Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1866xccp.hmn,0.001033,,Day,1866-01-01T00:00:00.000Z,1866-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707521-ORNL_DAAC,FIFE_HMON_MET.1867xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:28Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1867xccp.hmn,0.001037,,Day,1867-01-01T00:00:00.000Z,1867-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707582-ORNL_DAAC,FIFE_HMON_MET.1868xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:29Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1868xccp.hmn,0.001036,,Day,1868-01-01T00:00:00.000Z,1868-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707364-ORNL_DAAC,FIFE_HMON_MET.1869xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:23Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1869xccp.hmn,0.001037,,Day,1869-01-01T00:00:00.000Z,1869-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422707544-ORNL_DAAC,FIFE_HMON_MET.1870xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:28Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1870xccp.hmn,0.001035,,Day,1870-01-01T00:00:00.000Z,1870-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1422708024-ORNL_DAAC,FIFE_HMON_MET.1871xccp.hmn,ORNL_DAAC,5,2017-12-14T18:43:33Z,1994-07-24T00:00:00.000Z,FIFE_HMON_MET_40,FIFE_HMON_MET.1871xccp.hmn,0.001037,,Day,1871-01-01T00:00:00.000Z,1871-12-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
