cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422711548-ORNL_DAAC,FIFE_MMR_GRND.71541246.mrg,ORNL_DAAC,1,2017-09-28T15:51:07Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71541246.mrg,0.011291,,Night,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711609-ORNL_DAAC,FIFE_MMR_GRND.71553129.mrg,ORNL_DAAC,1,2017-09-28T15:51:28Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71553129.mrg,0.075103,,Night,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711587-ORNL_DAAC,FIFE_MMR_GRND.71564439.mrg,ORNL_DAAC,1,2017-09-28T15:51:20Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71564439.mrg,0.024827,,Night,1987-06-05T00:00:00.000Z,1987-06-05T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711614-ORNL_DAAC,FIFE_MMR_GRND.71564268.mrg,ORNL_DAAC,1,2017-09-28T15:51:30Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71564268.mrg,0.015368,,Night,1987-06-05T00:00:00.000Z,1987-06-05T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711555-ORNL_DAAC,FIFE_MMR_GRND.71578739.mrg,ORNL_DAAC,1,2017-09-28T15:51:10Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71578739.mrg,0.011379,,Night,1987-06-06T00:00:00.000Z,1987-06-06T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711570-ORNL_DAAC,FIFE_MMR_GRND.71572123.mrg,ORNL_DAAC,1,2017-09-28T15:51:15Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71572123.mrg,0.011264,,Night,1987-06-06T00:00:00.000Z,1987-06-06T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711588-ORNL_DAAC,FIFE_MMR_GRND.71671445.mrg,ORNL_DAAC,1,2017-09-28T15:51:20Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71671445.mrg,0.019332,,Night,1987-06-16T00:00:00.000Z,1987-06-16T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711547-ORNL_DAAC,FIFE_MMR_GRND.71778739.mrg,ORNL_DAAC,1,2017-09-28T15:51:06Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71778739.mrg,0.007371,,Night,1987-06-26T00:00:00.000Z,1987-06-26T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711584-ORNL_DAAC,FIFE_MMR_GRND.71774439.mrg,ORNL_DAAC,1,2017-09-28T15:51:19Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71774439.mrg,0.048886,,Night,1987-06-26T00:00:00.000Z,1987-06-26T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
granule,G1422711550-ORNL_DAAC,FIFE_MMR_GRND.71788739.mrg,ORNL_DAAC,1,2017-09-28T15:51:08Z,1994-07-24T00:00:00.000Z,FIFE_MMR_GRND_52,FIFE_MMR_GRND.71788739.mrg,0.005954,,Night,1987-06-27T00:00:00.000Z,1987-06-27T00:00:00.000Z,38.9753,39.1158,-96.5775,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1158, -96.5775 39.1158, -96.5775 38.9753, -96.4742 38.9753))"
