cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422711702-ORNL_DAAC,FIFE_MOW_EXO.71502139.mex,ORNL_DAAC,1,2017-09-28T15:52:05Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.71502139.mex,0.002298,,Night,1987-05-30T00:00:00.000Z,1987-05-31T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711695-ORNL_DAAC,FIFE_MOW_EXO.71511916.mex,ORNL_DAAC,1,2017-09-28T15:52:03Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.71511916.mex,0.001402,,Night,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711699-ORNL_DAAC,FIFE_MOW_EXO.71542139.mex,ORNL_DAAC,1,2017-09-28T15:52:03Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.71542139.mex,0.002821,,Night,1987-06-03T00:00:00.000Z,1987-06-25T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711700-ORNL_DAAC,FIFE_MOW_EXO.71551916.mex,ORNL_DAAC,1,2017-09-28T15:52:04Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.71551916.mex,0.003327,,Night,1987-06-04T00:00:00.000Z,1987-06-26T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711708-ORNL_DAAC,FIFE_MOW_EXO.71831916.mex,ORNL_DAAC,1,2017-09-28T15:52:07Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.71831916.mex,0.002391,,Night,1987-07-02T00:00:00.000Z,1987-07-10T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711703-ORNL_DAAC,FIFE_MOW_EXO.71872139.mex,ORNL_DAAC,1,2017-09-28T15:52:05Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.71872139.mex,0.002829,,Night,1987-07-06T00:00:00.000Z,1987-07-17T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711707-ORNL_DAAC,FIFE_MOW_EXO.72152139.mex,ORNL_DAAC,1,2017-09-28T15:52:07Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.72152139.mex,0.004228,,Night,1987-08-03T00:00:00.000Z,1987-08-31T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711704-ORNL_DAAC,FIFE_MOW_EXO.72171916.mex,ORNL_DAAC,1,2017-09-28T15:52:06Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.72171916.mex,0.001394,,Night,1987-08-05T00:00:00.000Z,1987-08-05T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711698-ORNL_DAAC,FIFE_MOW_EXO.72442139.mex,ORNL_DAAC,1,2017-09-28T15:52:03Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.72442139.mex,0.004257,,Night,1987-09-01T00:00:00.000Z,1987-09-21T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711701-ORNL_DAAC,FIFE_MOW_EXO.72661916.mex,ORNL_DAAC,1,2017-09-28T15:52:04Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.72661916.mex,0.001394,,Night,1987-09-23T00:00:00.000Z,1987-09-23T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
granule,G1422711706-ORNL_DAAC,FIFE_MOW_EXO.72802139.mex,ORNL_DAAC,1,2017-09-28T15:52:07Z,1994-07-24T00:00:00.000Z,FIFE_MOW_EXO_56,FIFE_MOW_EXO.72802139.mex,0.001387,,Night,1987-10-07T00:00:00.000Z,1987-10-07T00:00:00.000Z,39.0936,39.0989,-96.5917,-96.5397,"POLYGON ((-96.5397 39.0936, -96.5397 39.0989, -96.5917 39.0989, -96.5917 39.0936, -96.5397 39.0936))"
