cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424922474-ORNL_DAAC,FIFE_NMC_UPR.5183fife.nmc,ORNL_DAAC,4,2017-12-14T19:15:08Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5183fife.nmc,0.004629,,Both,1985-07-02T00:00:00.000Z,1985-07-02T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424922503-ORNL_DAAC,FIFE_NMC_UPR.5184fife.nmc,ORNL_DAAC,4,2017-12-14T19:15:10Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5184fife.nmc,0.004677,,Both,1985-07-03T00:00:00.000Z,1985-07-03T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424922496-ORNL_DAAC,FIFE_NMC_UPR.5185fife.nmc,ORNL_DAAC,4,2017-12-14T19:15:10Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5185fife.nmc,0.004676,,Both,1985-07-04T00:00:00.000Z,1985-07-04T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424921934-ORNL_DAAC,FIFE_NMC_UPR.5186fife.nmc,ORNL_DAAC,4,2017-12-14T19:14:34Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5186fife.nmc,0.004741,,Both,1985-07-05T00:00:00.000Z,1985-07-05T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424922123-ORNL_DAAC,FIFE_NMC_UPR.5187fife.nmc,ORNL_DAAC,4,2017-12-14T19:14:45Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5187fife.nmc,0.004669,,Both,1985-07-06T00:00:00.000Z,1985-07-06T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424923028-ORNL_DAAC,FIFE_NMC_UPR.5188fife.nmc,ORNL_DAAC,4,2017-12-14T19:15:41Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5188fife.nmc,0.004676,,Both,1985-07-07T00:00:00.000Z,1985-07-07T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424921700-ORNL_DAAC,FIFE_NMC_UPR.5189fife.nmc,ORNL_DAAC,4,2017-12-14T19:14:21Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5189fife.nmc,0.006147,,Both,1985-07-08T00:00:00.000Z,1985-07-08T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424921872-ORNL_DAAC,FIFE_NMC_UPR.5190fife.nmc,ORNL_DAAC,4,2017-12-14T19:14:31Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5190fife.nmc,0.006139,,Both,1985-07-09T00:00:00.000Z,1985-07-09T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424922491-ORNL_DAAC,FIFE_NMC_UPR.5191fife.nmc,ORNL_DAAC,4,2017-12-14T19:15:09Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5191fife.nmc,0.006226,,Both,1985-07-10T00:00:00.000Z,1985-07-10T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424922327-ORNL_DAAC,FIFE_NMC_UPR.5193fife.nmc,ORNL_DAAC,4,2017-12-14T19:14:57Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5193fife.nmc,0.006228,,Both,1985-07-12T00:00:00.000Z,1985-07-12T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424921711-ORNL_DAAC,FIFE_NMC_UPR.5194fife.nmc,ORNL_DAAC,4,2017-12-14T19:14:22Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5194fife.nmc,0.006225,,Both,1985-07-13T00:00:00.000Z,1985-07-13T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424922780-ORNL_DAAC,FIFE_NMC_UPR.5195fife.nmc,ORNL_DAAC,4,2017-12-14T19:15:29Z,1994-07-24T00:00:00.000Z,FIFE_NMC_UPR_57,FIFE_NMC_UPR.5195fife.nmc,0.006235,,Both,1985-07-14T00:00:00.000Z,1985-07-14T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
