cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424916707-ORNL_DAAC,FIFE_NOAA_TOV.70010403.ntv,ORNL_DAAC,1,2017-10-04T14:12:39Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70010403.ntv,0.028247,,Both,1987-01-01T00:00:00.000Z,1987-01-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424917452-ORNL_DAAC,FIFE_NOAA_TOV.70011626.ntv,ORNL_DAAC,1,2017-10-04T14:13:30Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70011626.ntv,0.062752,,Both,1987-01-01T00:00:00.000Z,1987-01-01T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424918047-ORNL_DAAC,FIFE_NOAA_TOV.70022053.ntv,ORNL_DAAC,1,2017-10-04T14:14:13Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70022053.ntv,0.052415,,Both,1987-01-02T00:00:00.000Z,1987-01-02T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424912488-ORNL_DAAC,FIFE_NOAA_TOV.70031057.ntv,ORNL_DAAC,1,2017-10-04T14:07:57Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70031057.ntv,0.013064,,Both,1987-01-03T00:00:00.000Z,1987-01-03T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424915910-ORNL_DAAC,FIFE_NOAA_TOV.70032042.ntv,ORNL_DAAC,1,2017-10-04T14:11:48Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70032042.ntv,0.065141,,Both,1987-01-03T00:00:00.000Z,1987-01-03T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424916146-ORNL_DAAC,FIFE_NOAA_TOV.70030916.ntv,ORNL_DAAC,1,2017-10-04T14:12:03Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70030916.ntv,0.039205,,Both,1987-01-03T00:00:00.000Z,1987-01-03T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424913190-ORNL_DAAC,FIFE_NOAA_TOV.70040906.ntv,ORNL_DAAC,1,2017-10-04T14:08:49Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70040906.ntv,0.025302,,Both,1987-01-04T00:00:00.000Z,1987-01-04T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424913363-ORNL_DAAC,FIFE_NOAA_TOV.70042031.ntv,ORNL_DAAC,1,2017-10-04T14:09:01Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70042031.ntv,0.063809,,Both,1987-01-04T00:00:00.000Z,1987-01-04T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424916160-ORNL_DAAC,FIFE_NOAA_TOV.70041047.ntv,ORNL_DAAC,1,2017-10-04T14:12:04Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70041047.ntv,0.013064,,Both,1987-01-04T00:00:00.000Z,1987-01-04T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424913519-ORNL_DAAC,FIFE_NOAA_TOV.70052020.ntv,ORNL_DAAC,1,2017-10-04T14:09:11Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70052020.ntv,0.051254,,Both,1987-01-05T00:00:00.000Z,1987-01-05T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424914708-ORNL_DAAC,FIFE_NOAA_TOV.70061025.ntv,ORNL_DAAC,1,2017-10-04T14:10:32Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70061025.ntv,0.037632,,Both,1987-01-06T00:00:00.000Z,1987-01-06T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424918227-ORNL_DAAC,FIFE_NOAA_TOV.70062151.ntv,ORNL_DAAC,1,2017-10-04T14:14:37Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70062151.ntv,0.03281,,Both,1987-01-06T00:00:00.000Z,1987-01-06T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
granule,G1424918273-ORNL_DAAC,FIFE_NOAA_TOV.70062010.ntv,ORNL_DAAC,1,2017-10-04T14:14:53Z,1994-07-24T00:00:00.000Z,FIFE_NOAA_TOV_16,FIFE_NOAA_TOV.70062010.ntv,0.027114,,Both,1987-01-06T00:00:00.000Z,1987-01-06T00:00:00.000Z,37.0,40.0,-102.0,-95.0,"POLYGON ((-95 37, -95 40, -102 40, -102 37, -95 37))"
