cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422711753-ORNL_DAAC,FIFE_OT_BRUG.71500506.otb,ORNL_DAAC,1,2017-09-28T15:52:23Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71500506.otb,0.001414,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711742-ORNL_DAAC,FIFE_OT_BRUG.71510506.otb,ORNL_DAAC,1,2017-09-28T15:52:19Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71510506.otb,0.001457,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711766-ORNL_DAAC,FIFE_OT_BRUG.71520506.otb,ORNL_DAAC,1,2017-09-28T15:52:29Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71520506.otb,0.001414,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711752-ORNL_DAAC,FIFE_OT_BRUG.71572730.otb,ORNL_DAAC,1,2017-09-28T15:52:22Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71572730.otb,0.001422,,Both,1987-06-06T00:00:00.000Z,1987-06-06T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711757-ORNL_DAAC,FIFE_OT_BRUG.71772730.otb,ORNL_DAAC,1,2017-09-28T15:52:25Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71772730.otb,0.002109,,Both,1987-06-26T00:00:00.000Z,1987-06-26T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711748-ORNL_DAAC,FIFE_OT_BRUG.71782730.otb,ORNL_DAAC,1,2017-09-28T15:52:21Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71782730.otb,0.00211,,Both,1987-06-27T00:00:00.000Z,1987-06-27T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711764-ORNL_DAAC,FIFE_OT_BRUG.71822730.otb,ORNL_DAAC,1,2017-09-28T15:52:28Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71822730.otb,0.002111,,Both,1987-07-01T00:00:00.000Z,1987-07-01T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711760-ORNL_DAAC,FIFE_OT_BRUG.71872730.otb,ORNL_DAAC,1,2017-09-28T15:52:26Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71872730.otb,0.002089,,Both,1987-07-06T00:00:00.000Z,1987-07-06T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711750-ORNL_DAAC,FIFE_OT_BRUG.71922730.otb,ORNL_DAAC,1,2017-09-28T15:52:21Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71922730.otb,0.003669,,Both,1987-07-11T00:00:00.000Z,1987-07-11T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
granule,G1422711768-ORNL_DAAC,FIFE_OT_BRUG.71952730.otb,ORNL_DAAC,1,2017-09-28T15:52:29Z,1994-07-24T00:00:00.000Z,FIFE_OT_BRUG_62,FIFE_OT_BRUG.71952730.otb,0.002108,,Both,1987-07-14T00:00:00.000Z,1987-07-14T00:00:00.000Z,38.9753,39.1233,-96.6156,-96.5364,"POLYGON ((-96.5364 38.9753, -96.5364 39.1233, -96.6156 39.1233, -96.6156 38.9753, -96.5364 38.9753))"
