cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422715762-ORNL_DAAC,FIFE_OT_STAFF.7065xetl.ots,ORNL_DAAC,1,2017-09-28T15:55:22Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7065xetl.ots,0.003601,,Both,1987-03-06T00:00:00.000Z,1987-03-06T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715900-ORNL_DAAC,FIFE_OT_STAFF.7069xetl.ots,ORNL_DAAC,1,2017-09-28T15:56:17Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7069xetl.ots,0.007485,,Both,1987-03-10T00:00:00.000Z,1987-03-10T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422714911-ORNL_DAAC,FIFE_OT_STAFF.7070xetl.ots,ORNL_DAAC,1,2017-09-28T15:55:03Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7070xetl.ots,0.005301,,Both,1987-03-11T00:00:00.000Z,1987-03-11T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422714543-ORNL_DAAC,FIFE_OT_STAFF.7071xetl.ots,ORNL_DAAC,1,2017-09-28T15:54:49Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7071xetl.ots,0.010193,,Both,1987-03-12T00:00:00.000Z,1987-03-12T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715805-ORNL_DAAC,FIFE_OT_STAFF.7072xetl.ots,ORNL_DAAC,1,2017-09-28T15:55:43Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7072xetl.ots,0.010156,,Both,1987-03-13T00:00:00.000Z,1987-03-13T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715752-ORNL_DAAC,FIFE_OT_STAFF.7092xetl.ots,ORNL_DAAC,1,2017-09-28T15:55:18Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7092xetl.ots,0.006927,,Both,1987-04-02T00:00:00.000Z,1987-04-02T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715440-ORNL_DAAC,FIFE_OT_STAFF.7095xetl.ots,ORNL_DAAC,1,2017-09-28T15:55:12Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7095xetl.ots,0.006917,,Both,1987-04-05T00:00:00.000Z,1987-04-05T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715323-ORNL_DAAC,FIFE_OT_STAFF.7098xetl.ots,ORNL_DAAC,1,2017-09-28T15:55:10Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7098xetl.ots,0.010214,,Both,1987-04-08T00:00:00.000Z,1987-04-08T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715855-ORNL_DAAC,FIFE_OT_STAFF.7099xetl.ots,ORNL_DAAC,1,2017-09-28T15:56:04Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7099xetl.ots,0.006924,,Both,1987-04-09T00:00:00.000Z,1987-04-09T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422714542-ORNL_DAAC,FIFE_OT_STAFF.7100xetl.ots,ORNL_DAAC,1,2017-09-28T15:54:48Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7100xetl.ots,0.006915,,Both,1987-04-10T00:00:00.000Z,1987-04-10T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422715905-ORNL_DAAC,FIFE_OT_STAFF.7106xetl.ots,ORNL_DAAC,1,2017-09-28T15:56:19Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7106xetl.ots,0.006373,,Both,1987-04-16T00:00:00.000Z,1987-04-16T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
granule,G1422714541-ORNL_DAAC,FIFE_OT_STAFF.7107xetl.ots,ORNL_DAAC,1,2017-09-28T15:54:48Z,1994-07-24T00:00:00.000Z,FIFE_OT_STAFF_66,FIFE_OT_STAFF.7107xetl.ots,0.006944,,Both,1987-04-17T00:00:00.000Z,1987-04-17T00:00:00.000Z,39.0111,39.1928,-96.6075,-96.5197,"POLYGON ((-96.5197 39.0111, -96.5197 39.1928, -96.6075 39.1928, -96.6075 39.0111, -96.5197 39.0111))"
