cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422724815-ORNL_DAAC,FIFE_PECK_SM.71533907.psm,ORNL_DAAC,1,2017-09-28T16:06:23Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71533907.psm,0.012785,,Both,1987-06-02T00:00:00.000Z,1987-06-02T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724807-ORNL_DAAC,FIFE_PECK_SM.71543025.psm,ORNL_DAAC,1,2017-09-28T16:06:20Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71543025.psm,0.002815,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724824-ORNL_DAAC,FIFE_PECK_SM.71543126.psm,ORNL_DAAC,1,2017-09-28T16:06:27Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71543126.psm,0.001068,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724831-ORNL_DAAC,FIFE_PECK_SM.71542826.psm,ORNL_DAAC,1,2017-09-28T16:06:30Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71542826.psm,0.000892,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724834-ORNL_DAAC,FIFE_PECK_SM.71543527.psm,ORNL_DAAC,1,2017-09-28T16:06:32Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71543527.psm,0.001294,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724835-ORNL_DAAC,FIFE_PECK_SM.71543014.psm,ORNL_DAAC,1,2017-09-28T16:06:32Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71543014.psm,0.002018,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724820-ORNL_DAAC,FIFE_PECK_SM.71553025.psm,ORNL_DAAC,1,2017-09-28T16:06:25Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71553025.psm,0.000628,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724822-ORNL_DAAC,FIFE_PECK_SM.71553639.psm,ORNL_DAAC,1,2017-09-28T16:06:26Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71553639.psm,0.005186,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724814-ORNL_DAAC,FIFE_PECK_SM.71873520.psm,ORNL_DAAC,1,2017-09-28T16:06:23Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71873520.psm,0.001253,,Both,1987-07-06T00:00:00.000Z,1987-07-06T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
granule,G1422724818-ORNL_DAAC,FIFE_PECK_SM.71873939.psm,ORNL_DAAC,1,2017-09-28T16:06:24Z,1994-07-24T00:00:00.000Z,FIFE_PECK_SM_109,FIFE_PECK_SM.71873939.psm,0.00116,,Both,1987-07-06T00:00:00.000Z,1987-07-06T00:00:00.000Z,38.9742,39.1217,-96.6156,-96.4836,"POLYGON ((-96.4836 38.9742, -96.4836 39.1217, -96.6156 39.1217, -96.6156 38.9742, -96.4836 38.9742))"
