cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422716132-ORNL_DAAC,FIFE_ROOT_BIO.19871246.rbm,ORNL_DAAC,1,2017-09-28T15:58:00Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19871246.rbm,0.002053,,Day,1987-06-01T00:00:00.000Z,1987-10-21T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716133-ORNL_DAAC,FIFE_ROOT_BIO.19873414.rbm,ORNL_DAAC,1,2017-09-28T15:58:00Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19873414.rbm,0.002677,,Day,1987-06-01T00:00:00.000Z,1987-09-30T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716134-ORNL_DAAC,FIFE_ROOT_BIO.19870847.rbm,ORNL_DAAC,1,2017-09-28T15:58:01Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19870847.rbm,0.008524,,Day,1987-06-01T00:00:00.000Z,1987-10-30T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716135-ORNL_DAAC,FIFE_ROOT_BIO.19872731.rbm,ORNL_DAAC,1,2017-09-28T15:58:01Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19872731.rbm,0.003762,,Day,1987-06-01T00:00:00.000Z,1987-09-28T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716137-ORNL_DAAC,FIFE_ROOT_BIO.19871445.rbm,ORNL_DAAC,1,2017-09-28T15:58:02Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19871445.rbm,0.002429,,Day,1987-06-01T00:00:00.000Z,1987-10-21T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716142-ORNL_DAAC,FIFE_ROOT_BIO.19872437.rbm,ORNL_DAAC,1,2017-09-28T15:58:04Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19872437.rbm,0.001639,,Day,1987-06-01T00:00:00.000Z,1987-08-10T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716143-ORNL_DAAC,FIFE_ROOT_BIO.19872139.rbm,ORNL_DAAC,1,2017-09-28T15:58:05Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19872139.rbm,0.004737,,Day,1987-06-01T00:00:00.000Z,1987-10-27T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716144-ORNL_DAAC,FIFE_ROOT_BIO.19878639.rbm,ORNL_DAAC,1,2017-09-28T15:58:05Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19878639.rbm,0.001721,,Day,1987-06-01T00:00:00.000Z,1987-06-29T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716139-ORNL_DAAC,FIFE_ROOT_BIO.19871609.rbm,ORNL_DAAC,1,2017-09-28T15:58:03Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19871609.rbm,0.012295,,Day,1987-06-09T00:00:00.000Z,1987-11-12T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
granule,G1422716138-ORNL_DAAC,FIFE_ROOT_BIO.19874268.rbm,ORNL_DAAC,1,2017-09-28T15:58:03Z,1994-07-24T00:00:00.000Z,FIFE_ROOT_BIO_75,FIFE_ROOT_BIO.19874268.rbm,0.001958,,Day,1987-06-29T00:00:00.000Z,1987-10-23T00:00:00.000Z,38.9753,39.1161,-96.6075,-96.4742,"POLYGON ((-96.4742 38.9753, -96.4742 39.1161, -96.6075 39.1161, -96.6075 38.9753, -96.4742 38.9753))"
