cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422720270-ORNL_DAAC,FIFE_SE_GSFC.71522043.g02,ORNL_DAAC,1,2017-09-28T16:00:35Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71522043.g02,0.018213,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720505-ORNL_DAAC,FIFE_SE_GSFC.71522043.g01,ORNL_DAAC,1,2017-09-28T16:01:39Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71522043.g01,0.018019,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720516-ORNL_DAAC,FIFE_SE_GSFC.71522043.g03,ORNL_DAAC,1,2017-09-28T16:01:45Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71522043.g03,0.018224,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720351-ORNL_DAAC,FIFE_SE_GSFC.71542731.g01,ORNL_DAAC,1,2017-09-28T16:00:59Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71542731.g01,0.017803,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720624-ORNL_DAAC,FIFE_SE_GSFC.71542731.g02,ORNL_DAAC,1,2017-09-28T16:02:25Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71542731.g02,0.018013,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422718846-ORNL_DAAC,FIFE_SE_GSFC.71553129.g03,ORNL_DAAC,1,2017-09-28T16:00:14Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71553129.g03,0.017849,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422719899-ORNL_DAAC,FIFE_SE_GSFC.71553129.g04,ORNL_DAAC,1,2017-09-28T16:00:28Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71553129.g04,0.018055,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720158-ORNL_DAAC,FIFE_SE_GSFC.71553129.g05,ORNL_DAAC,1,2017-09-28T16:00:33Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71553129.g05,0.018055,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720341-ORNL_DAAC,FIFE_SE_GSFC.71553129.g02,ORNL_DAAC,1,2017-09-28T16:00:55Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71553129.g02,0.01785,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
granule,G1422720450-ORNL_DAAC,FIFE_SE_GSFC.71553129.g06,ORNL_DAAC,1,2017-09-28T16:01:14Z,1994-07-24T00:00:00.000Z,FIFE_SE_GSFC_81,FIFE_SE_GSFC.71553129.g06,0.018065,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.0989,-96.5975,-96.5019,"POLYGON ((-96.50190000000001 38.9753, -96.50190000000001 39.0989, -96.5975 39.0989, -96.5975 38.9753, -96.50190000000001 38.9753))"
