cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422689627-ORNL_DAAC,FIFE_SF30_BRS.71471478.brs,ORNL_DAAC,1,2017-09-28T15:36:30Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71471478.brs,0.01297,,Both,1987-05-27T00:00:00.000Z,1987-05-27T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690058-ORNL_DAAC,FIFE_SF30_BRS.71471916.brs,ORNL_DAAC,1,2017-09-28T15:36:56Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71471916.brs,0.012867,,Both,1987-05-27T00:00:00.000Z,1987-05-27T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690251-ORNL_DAAC,FIFE_SF30_BRS.71481478.brs,ORNL_DAAC,1,2017-09-28T15:37:08Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71481478.brs,0.015932,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690679-ORNL_DAAC,FIFE_SF30_BRS.71481916.brs,ORNL_DAAC,1,2017-09-28T15:37:33Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71481916.brs,0.015649,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422689768-ORNL_DAAC,FIFE_SF30_BRS.71491478.brs,ORNL_DAAC,1,2017-09-28T15:36:39Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71491478.brs,0.015668,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690174-ORNL_DAAC,FIFE_SF30_BRS.71491916.brs,ORNL_DAAC,1,2017-09-28T15:37:03Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71491916.brs,0.015606,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690103-ORNL_DAAC,FIFE_SF30_BRS.71501916.brs,ORNL_DAAC,1,2017-09-28T15:36:59Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71501916.brs,0.015762,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690546-ORNL_DAAC,FIFE_SF30_BRS.71501478.brs,ORNL_DAAC,1,2017-09-28T15:37:24Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71501478.brs,0.0157,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422689612-ORNL_DAAC,FIFE_SF30_BRS.71511478.brs,ORNL_DAAC,1,2017-09-28T15:36:30Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71511478.brs,0.015692,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422689853-ORNL_DAAC,FIFE_SF30_BRS.71511916.brs,ORNL_DAAC,1,2017-09-28T15:36:43Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71511916.brs,0.015719,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690134-ORNL_DAAC,FIFE_SF30_BRS.71521916.brs,ORNL_DAAC,1,2017-09-28T15:37:01Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71521916.brs,0.015871,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690480-ORNL_DAAC,FIFE_SF30_BRS.71521478.brs,ORNL_DAAC,1,2017-09-28T15:37:19Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71521478.brs,0.015783,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690072-ORNL_DAAC,FIFE_SF30_BRS.71531478.brs,ORNL_DAAC,1,2017-09-28T15:36:57Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71531478.brs,0.015557,,Both,1987-06-02T00:00:00.000Z,1987-06-02T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422690509-ORNL_DAAC,FIFE_SF30_BRS.71531916.brs,ORNL_DAAC,1,2017-09-28T15:37:22Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71531916.brs,0.015591,,Both,1987-06-02T00:00:00.000Z,1987-06-02T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422689966-ORNL_DAAC,FIFE_SF30_BRS.71541916.brs,ORNL_DAAC,1,2017-09-28T15:36:50Z,1994-07-24T00:00:00.000Z,FIFE_SF30_BRS_22,FIFE_SF30_BRS.71541916.brs,0.015697,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
