cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422699763-ORNL_DAAC,FIFE_SF30_ECA.71462731.eca,ORNL_DAAC,1,2017-09-28T15:43:01Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71462731.eca,0.002904,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699890-ORNL_DAAC,FIFE_SF30_ECA.71482731.eca,ORNL_DAAC,1,2017-09-28T15:43:08Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71482731.eca,0.003874,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699731-ORNL_DAAC,FIFE_SF30_ECA.71492731.eca,ORNL_DAAC,1,2017-09-28T15:42:59Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71492731.eca,0.006261,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699794-ORNL_DAAC,FIFE_SF30_ECA.71502731.eca,ORNL_DAAC,1,2017-09-28T15:43:03Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71502731.eca,0.011228,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699372-ORNL_DAAC,FIFE_SF30_ECA.71512731.eca,ORNL_DAAC,1,2017-09-28T15:42:35Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71512731.eca,0.010955,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699519-ORNL_DAAC,FIFE_SF30_ECA.71522731.eca,ORNL_DAAC,1,2017-09-28T15:42:44Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71522731.eca,0.011083,,Both,1987-06-01T00:00:00.000Z,1987-06-01T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699362-ORNL_DAAC,FIFE_SF30_ECA.71532731.eca,ORNL_DAAC,1,2017-09-28T15:42:35Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71532731.eca,0.002314,,Both,1987-06-02T00:00:00.000Z,1987-06-02T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699601-ORNL_DAAC,FIFE_SF30_ECA.71542731.eca,ORNL_DAAC,1,2017-09-28T15:42:50Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71542731.eca,0.010074,,Both,1987-06-03T00:00:00.000Z,1987-06-03T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699439-ORNL_DAAC,FIFE_SF30_ECA.71552731.eca,ORNL_DAAC,1,2017-09-28T15:42:39Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71552731.eca,0.010051,,Both,1987-06-04T00:00:00.000Z,1987-06-04T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1422699905-ORNL_DAAC,FIFE_SF30_ECA.71562731.eca,ORNL_DAAC,1,2017-09-28T15:43:09Z,1994-07-24T00:00:00.000Z,FIFE_SF30_ECA_30,FIFE_SF30_ECA.71562731.eca,0.010741,,Both,1987-06-05T00:00:00.000Z,1987-06-05T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
