cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424964806-ORNL_DAAC,FIFE_SF_BL92.71348739.sfb,ORNL_DAAC,1,2017-10-04T17:38:18Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71348739.sfb,0.003297,,Both,1987-05-14T00:00:00.000Z,1987-05-14T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424966286-ORNL_DAAC,FIFE_SF_BL92.71358739.sfb,ORNL_DAAC,1,2017-10-04T17:39:58Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71358739.sfb,0.003956,,Both,1987-05-15T00:00:00.000Z,1987-05-15T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424966107-ORNL_DAAC,FIFE_SF_BL92.71368739.sfb,ORNL_DAAC,1,2017-10-04T17:39:48Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71368739.sfb,0.003926,,Both,1987-05-16T00:00:00.000Z,1987-05-16T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424971597-ORNL_DAAC,FIFE_SF_BL92.71378739.sfb,ORNL_DAAC,1,2017-10-04T17:49:47Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71378739.sfb,0.003886,,Both,1987-05-17T00:00:00.000Z,1987-05-17T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424972615-ORNL_DAAC,FIFE_SF_BL92.71388739.sfb,ORNL_DAAC,1,2017-10-04T17:51:12Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71388739.sfb,0.003894,,Both,1987-05-18T00:00:00.000Z,1987-05-18T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424966606-ORNL_DAAC,FIFE_SF_BL92.71398739.sfb,ORNL_DAAC,1,2017-10-04T17:40:21Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71398739.sfb,0.003876,,Both,1987-05-19T00:00:00.000Z,1987-05-19T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424963698-ORNL_DAAC,FIFE_SF_BL92.71408739.sfb,ORNL_DAAC,1,2017-10-04T17:37:05Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71408739.sfb,0.00393,,Both,1987-05-20T00:00:00.000Z,1987-05-20T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424968027-ORNL_DAAC,FIFE_SF_BL92.71418739.sfb,ORNL_DAAC,1,2017-10-04T17:42:12Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71418739.sfb,0.003964,,Both,1987-05-21T00:00:00.000Z,1987-05-21T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424971534-ORNL_DAAC,FIFE_SF_BL92.71428739.sfb,ORNL_DAAC,1,2017-10-04T17:49:43Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71428739.sfb,0.00387,,Both,1987-05-22T00:00:00.000Z,1987-05-22T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424968070-ORNL_DAAC,FIFE_SF_BL92.71438739.sfb,ORNL_DAAC,1,2017-10-04T17:42:16Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71438739.sfb,0.003856,,Both,1987-05-23T00:00:00.000Z,1987-05-23T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424972601-ORNL_DAAC,FIFE_SF_BL92.71448739.sfb,ORNL_DAAC,1,2017-10-04T17:51:10Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71448739.sfb,0.00404,,Both,1987-05-24T00:00:00.000Z,1987-05-24T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424965017-ORNL_DAAC,FIFE_SF_BL92.71458739.sfb,ORNL_DAAC,1,2017-10-04T17:38:32Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71458739.sfb,0.004091,,Both,1987-05-25T00:00:00.000Z,1987-05-25T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424967306-ORNL_DAAC,FIFE_SF_BL92.71456943.sfb,ORNL_DAAC,1,2017-10-04T17:41:04Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71456943.sfb,0.001227,,Both,1987-05-25T00:00:00.000Z,1987-05-25T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
granule,G1424966051-ORNL_DAAC,FIFE_SF_BL92.71466912.sfb,ORNL_DAAC,1,2017-10-04T17:39:44Z,1994-07-24T00:00:00.000Z,FIFE_SF_BL92_121,FIFE_SF_BL92.71466912.sfb,0.004184,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,38.9753,39.1097,-96.6114,-96.4469,"POLYGON ((-96.4469 38.9753, -96.4469 39.1097, -96.6114 39.1097, -96.6114 38.9753, -96.4469 38.9753))"
