cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1424960259-ORNL_DAAC,FIFE_STRM_ST.70012323.sst,ORNL_DAAC,1,2017-10-04T17:31:00Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70012323.sst,0.000674,,Both,1987-01-01T00:00:00.000Z,1987-01-01T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424960672-ORNL_DAAC,FIFE_STRM_ST.70012422.sst,ORNL_DAAC,1,2017-10-04T17:33:48Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70012422.sst,0.000675,,Both,1987-01-01T00:00:00.000Z,1987-01-01T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424960903-ORNL_DAAC,FIFE_STRM_ST.70022323.sst,ORNL_DAAC,1,2017-10-04T17:34:02Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70022323.sst,0.000842,,Both,1987-01-02T00:00:00.000Z,1987-01-02T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424961857-ORNL_DAAC,FIFE_STRM_ST.70022422.sst,ORNL_DAAC,1,2017-10-04T17:35:03Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70022422.sst,0.000841,,Both,1987-01-02T00:00:00.000Z,1987-01-02T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424960339-ORNL_DAAC,FIFE_STRM_ST.70032323.sst,ORNL_DAAC,1,2017-10-04T17:31:30Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70032323.sst,0.000841,,Both,1987-01-03T00:00:00.000Z,1987-01-03T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424961414-ORNL_DAAC,FIFE_STRM_ST.70032422.sst,ORNL_DAAC,1,2017-10-04T17:34:34Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70032422.sst,0.000843,,Both,1987-01-03T00:00:00.000Z,1987-01-03T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424960357-ORNL_DAAC,FIFE_STRM_ST.70042422.sst,ORNL_DAAC,1,2017-10-04T17:31:38Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70042422.sst,0.000842,,Both,1987-01-04T00:00:00.000Z,1987-01-04T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424961092-ORNL_DAAC,FIFE_STRM_ST.70042323.sst,ORNL_DAAC,1,2017-10-04T17:34:15Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70042323.sst,0.000842,,Both,1987-01-04T00:00:00.000Z,1987-01-04T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424960241-ORNL_DAAC,FIFE_STRM_ST.70052422.sst,ORNL_DAAC,1,2017-10-04T17:30:51Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70052422.sst,0.000843,,Both,1987-01-05T00:00:00.000Z,1987-01-05T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
granule,G1424960622-ORNL_DAAC,FIFE_STRM_ST.70052323.sst,ORNL_DAAC,1,2017-10-04T17:33:33Z,1994-07-24T00:00:00.000Z,FIFE_STRM_ST_120,FIFE_STRM_ST.70052323.sst,0.00084,,Both,1987-01-05T00:00:00.000Z,1987-01-05T00:00:00.000Z,39.0736,39.0903,-96.5806,-96.5606,"POLYGON ((-96.56059999999999 39.0736, -96.56059999999999 39.0903, -96.5806 39.0903, -96.5806 39.0736, -96.56059999999999 39.0736))"
