cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1422734780-ORNL_DAAC,FIFE_WIND_SON.7146n003.wps,ORNL_DAAC,1,2017-09-28T16:16:27Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7146n003.wps,0.010057,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734899-ORNL_DAAC,FIFE_WIND_SON.7146n004.wps,ORNL_DAAC,1,2017-09-28T16:17:14Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7146n004.wps,0.008196,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422735044-ORNL_DAAC,FIFE_WIND_SON.7146n001.wps,ORNL_DAAC,1,2017-09-28T16:18:11Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7146n001.wps,0.011001,,Both,1987-05-26T00:00:00.000Z,1987-05-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734132-ORNL_DAAC,FIFE_WIND_SON.7148n008.wps,ORNL_DAAC,1,2017-09-28T16:15:21Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7148n008.wps,0.014423,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734765-ORNL_DAAC,FIFE_WIND_SON.7148n006.wps,ORNL_DAAC,1,2017-09-28T16:16:20Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7148n006.wps,0.006417,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734882-ORNL_DAAC,FIFE_WIND_SON.7148n007.wps,ORNL_DAAC,1,2017-09-28T16:17:08Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7148n007.wps,0.00386,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422735017-ORNL_DAAC,FIFE_WIND_SON.7148n005.wps,ORNL_DAAC,1,2017-09-28T16:17:59Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7148n005.wps,0.004188,,Both,1987-05-28T00:00:00.000Z,1987-05-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734691-ORNL_DAAC,FIFE_WIND_SON.7149n014.wps,ORNL_DAAC,1,2017-09-28T16:15:54Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7149n014.wps,0.007491,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734709-ORNL_DAAC,FIFE_WIND_SON.7149n009.wps,ORNL_DAAC,1,2017-09-28T16:16:02Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7149n009.wps,0.014199,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734763-ORNL_DAAC,FIFE_WIND_SON.7149n012.wps,ORNL_DAAC,1,2017-09-28T16:16:19Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7149n012.wps,0.006972,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422735013-ORNL_DAAC,FIFE_WIND_SON.7149n011.wps,ORNL_DAAC,1,2017-09-28T16:17:57Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7149n011.wps,0.007268,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422735037-ORNL_DAAC,FIFE_WIND_SON.7149n013.wps,ORNL_DAAC,1,2017-09-28T16:18:08Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7149n013.wps,0.006294,,Both,1987-05-29T00:00:00.000Z,1987-05-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734651-ORNL_DAAC,FIFE_WIND_SON.7150n022.wps,ORNL_DAAC,1,2017-09-28T16:15:36Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n022.wps,0.0153,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734812-ORNL_DAAC,FIFE_WIND_SON.7150n017.wps,ORNL_DAAC,1,2017-09-28T16:16:39Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n017.wps,0.017857,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734841-ORNL_DAAC,FIFE_WIND_SON.7150n015.wps,ORNL_DAAC,1,2017-09-28T16:16:52Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n015.wps,0.012769,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734848-ORNL_DAAC,FIFE_WIND_SON.7150n020.wps,ORNL_DAAC,1,2017-09-28T16:16:56Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n020.wps,0.007368,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734881-ORNL_DAAC,FIFE_WIND_SON.7150n023.wps,ORNL_DAAC,1,2017-09-28T16:17:07Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n023.wps,0.013866,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734986-ORNL_DAAC,FIFE_WIND_SON.7150n018.wps,ORNL_DAAC,1,2017-09-28T16:17:47Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n018.wps,0.014201,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422735040-ORNL_DAAC,FIFE_WIND_SON.7150n016.wps,ORNL_DAAC,1,2017-09-28T16:18:09Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n016.wps,0.010217,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422735074-ORNL_DAAC,FIFE_WIND_SON.7150n019.wps,ORNL_DAAC,1,2017-09-28T16:18:20Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7150n019.wps,0.015248,,Both,1987-05-30T00:00:00.000Z,1987-05-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422733277-ORNL_DAAC,FIFE_WIND_SON.7151n026.wps,ORNL_DAAC,1,2017-09-28T16:15:09Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7151n026.wps,0.005192,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734706-ORNL_DAAC,FIFE_WIND_SON.7151n028.wps,ORNL_DAAC,1,2017-09-28T16:16:00Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7151n028.wps,0.014393,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734708-ORNL_DAAC,FIFE_WIND_SON.7151n030.wps,ORNL_DAAC,1,2017-09-28T16:16:01Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7151n030.wps,0.010262,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734743-ORNL_DAAC,FIFE_WIND_SON.7151n025.wps,ORNL_DAAC,1,2017-09-28T16:16:16Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7151n025.wps,0.013869,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734865-ORNL_DAAC,FIFE_WIND_SON.7151n029.wps,ORNL_DAAC,1,2017-09-28T16:17:00Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7151n029.wps,0.012985,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1422734937-ORNL_DAAC,FIFE_WIND_SON.7151n027.wps,ORNL_DAAC,1,2017-09-28T16:17:26Z,1994-07-24T00:00:00.000Z,FIFE_WIND_SON_139,FIFE_WIND_SON.7151n027.wps,0.010044,,Both,1987-05-31T00:00:00.000Z,1987-05-31T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
