cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1265405868-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.131_airs.nc,GES_DISC,2,2018-03-14T12:41:48Z,2013-05-30T18:50:54.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.131_airs.nc,0.622491836547852,,Unspecified,2006-06-15T13:05:25.000Z,2006-06-15T13:11:25.000Z,-2.948814868927,20.2643661499023,177.840209960938,-162.119491577148,"POLYGON ((-162.119491577148 -2.948814868927, -162.119491577148 20.2643661499023, 177.840209960938 20.2643661499023, 177.840209960938 -2.948814868927, -162.119491577148 -2.948814868927))"
granule,G1265405693-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.132_airs.nc,GES_DISC,2,2018-03-14T12:41:35Z,2013-05-30T18:50:55.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.132_airs.nc,2.006192207336426,,Unspecified,2006-06-15T13:11:25.000Z,2006-06-15T13:17:25.000Z,-24.5754280090332,-1.3602854013443,172.340576171875,-167.213653564453,"POLYGON ((-167.213653564453 -24.5754280090332, -167.213653564453 -1.3602854013443, 172.340576171875 -1.3602854013443, 172.340576171875 -24.5754280090332, -167.213653564453 -24.5754280090332))"
granule,G1265405576-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.133_airs.nc,GES_DISC,2,2018-03-14T12:41:22Z,2013-05-30T18:50:55.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.133_airs.nc,1.724778175354004,,Unspecified,2006-06-15T13:17:25.000Z,2006-06-15T13:23:25.000Z,-46.1747856140137,-22.7696151733398,163.872787475586,-171.224563598633,"POLYGON ((-171.224563598633 -46.1747856140137, -171.224563598633 -22.7696151733398, 163.872787475586 -22.7696151733398, 163.872787475586 -46.1747856140137, -171.224563598633 -46.1747856140137))"
granule,G1265405687-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.134_airs.nc,GES_DISC,2,2018-03-14T12:41:34Z,2013-05-30T18:50:55.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.134_airs.nc,1.36323356628418,,Unspecified,2006-06-15T13:23:25.000Z,2006-06-15T13:29:25.000Z,-67.6856079101562,-43.6318130493164,146.090438842773,-174.748687744141,"POLYGON ((-174.748687744141 -67.68560791015619, -174.748687744141 -43.6318130493164, 146.090438842773 -43.6318130493164, 146.090438842773 -67.68560791015619, -174.748687744141 -67.68560791015619))"
granule,G1265405702-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.135_airs.nc,GES_DISC,2,2018-03-14T12:41:33Z,2013-05-30T18:50:55.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.135_airs.nc,0.987330436706543,,Unspecified,2006-06-15T13:29:25.000Z,2006-06-15T13:35:25.000Z,-89.0781860351562,-62.8968620300293,92.3553771972656,-178.219573974609,"POLYGON ((-178.219573974609 -89.07818603515619, -178.219573974609 -62.8968620300293, 92.3553771972656 -62.8968620300293, 92.3553771972656 -89.07818603515619, -178.219573974609 -89.07818603515619))"
granule,G1265405824-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.136_airs.nc,GES_DISC,2,2018-03-14T12:41:44Z,2013-05-30T18:50:55.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.136_airs.nc,0.96772289276123,,Unspecified,2006-06-15T13:35:25.000Z,2006-06-15T13:41:25.000Z,-90.0,-63.7319107055664,-2.41755557060242,142.099197387695,"POLYGON ((142.099197387695 -90, 142.099197387695 -63.7319107055664, -2.41755557060242 -63.7319107055664, -2.41755557060242 -90, 142.099197387695 -90))"
granule,G1265405866-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.137_airs.nc,GES_DISC,2,2018-03-14T12:41:48Z,2013-05-30T18:50:56.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.137_airs.nc,1.440062522888184,,Unspecified,2006-06-15T13:41:25.000Z,2006-06-15T13:47:25.000Z,-68.9540023803711,-44.6155395507812,-5.92250204086304,34.4545288085938,"POLYGON ((34.4545288085938 -68.95400238037109, 34.4545288085938 -44.6155395507812, -5.92250204086304 -44.6155395507812, -5.92250204086304 -68.95400238037109, 34.4545288085938 -68.95400238037109))"
granule,G1265405748-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.138_airs.nc,GES_DISC,2,2018-03-14T12:41:38Z,2013-05-30T18:50:56.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.138_airs.nc,1.813779830932617,,Unspecified,2006-06-15T13:47:25.000Z,2006-06-15T13:53:25.000Z,-47.4477272033691,-23.7929496765137,-9.42261123657227,15.8099203109741,"POLYGON ((15.8099203109741 -47.4477272033691, 15.8099203109741 -23.7929496765137, -9.422611236572269 -23.7929496765137, -9.422611236572269 -47.4477272033691, 15.8099203109741 -47.4477272033691))"
granule,G1265405511-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.139_airs.nc,GES_DISC,2,2018-03-14T12:41:25Z,2013-05-30T18:50:56.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.139_airs.nc,1.619899749755859,,Unspecified,2006-06-15T13:53:25.000Z,2006-06-15T13:59:25.000Z,-25.8503723144531,-2.39905452728271,-13.3970966339111,7.10695934295654,"POLYGON ((7.10695934295654 -25.8503723144531, 7.10695934295654 -2.39905452728271, -13.3970966339111 -2.39905452728271, -13.3970966339111 -25.8503723144531, 7.10695934295654 -25.8503723144531))"
granule,G1265405796-GES_DISC,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.140_airs.nc,GES_DISC,2,2018-03-14T12:41:44Z,2013-05-30T18:50:56.000Z,AIRS_CPR_MAT,AIRS_CPR_MAT.3.2:matched-airs.aqua_cloudsat-v3.2-2006.06.15.140_airs.nc,1.840560913085938,,Unspecified,2006-06-15T13:59:25.000Z,2006-06-15T14:05:25.000Z,-4.22035646438599,19.2220458984375,-18.4025650024414,1.51816999912262,"POLYGON ((1.51816999912262 -4.22035646438599, 1.51816999912262 19.2220458984375, -18.4025650024414 19.2220458984375, -18.4025650024414 -4.22035646438599, 1.51816999912262 -4.22035646438599))"
