cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1594962726-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d185.nc4,GES_DISC,1,2019-02-26T16:05:08Z,2019-02-26T15:44:49.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d185.nc4,2.836979866027832,,Unspecified,2002-07-04T00:00:00.000Z,2002-07-04T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962729-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d186.nc4,GES_DISC,1,2019-02-26T16:05:08Z,2019-02-26T15:44:49.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d186.nc4,2.924522399902344,,Unspecified,2002-07-05T00:00:00.000Z,2002-07-05T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962731-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d187.nc4,GES_DISC,1,2019-02-26T16:05:08Z,2019-02-26T15:44:49.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d187.nc4,2.921013832092285,,Unspecified,2002-07-06T00:00:00.000Z,2002-07-06T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962733-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d188.nc4,GES_DISC,1,2019-02-26T16:05:09Z,2019-02-26T15:44:49.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d188.nc4,2.843595504760742,,Unspecified,2002-07-07T00:00:00.000Z,2002-07-07T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962737-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d189.nc4,GES_DISC,1,2019-02-26T16:05:09Z,2019-02-26T15:44:50.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d189.nc4,2.956124305725098,,Unspecified,2002-07-08T00:00:00.000Z,2002-07-08T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962741-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d190.nc4,GES_DISC,1,2019-02-26T16:05:10Z,2019-02-26T15:44:50.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d190.nc4,2.789823532104492,,Unspecified,2002-07-09T00:00:00.000Z,2002-07-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962744-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d191.nc4,GES_DISC,1,2019-02-26T16:05:10Z,2019-02-26T15:44:50.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d191.nc4,2.950051307678223,,Unspecified,2002-07-10T00:00:00.000Z,2002-07-10T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962746-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d192.nc4,GES_DISC,1,2019-02-26T16:05:10Z,2019-02-26T15:44:50.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d192.nc4,2.487069129943848,,Unspecified,2002-07-11T00:00:00.000Z,2002-07-11T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962751-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d193.nc4,GES_DISC,1,2019-02-26T16:05:11Z,2019-02-26T15:44:50.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d193.nc4,2.820211410522461,,Unspecified,2002-07-12T00:00:00.000Z,2002-07-12T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1594962754-GES_DISC,AMDBLWV.2:BLWV_D_V02.00_2002d194.nc4,GES_DISC,1,2019-02-26T16:05:11Z,2019-02-26T15:44:50.000Z,AMDBLWV,AMDBLWV.2:BLWV_D_V02.00_2002d194.nc4,2.86189079284668,,Unspecified,2002-07-13T00:00:00.000Z,2002-07-13T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
