cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1598787766-LPDAAC_ECS,SC:CAM5K30UC.002:2331466834,LPDAAC_ECS,2,2019-03-20T17:34:49Z,2019-03-13T12:25:00.070Z,,SC:CAM5K30UC.002:2331466834,131.259,,Unspecified,2000-04-01T00:00:00.000Z,2000-05-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787995-LPDAAC_ECS,SC:CAM5K30UC.002:2331466868,LPDAAC_ECS,2,2019-03-20T17:34:51Z,2019-03-13T12:25:02.382Z,,SC:CAM5K30UC.002:2331466868,132.401,,Unspecified,2000-05-01T00:00:00.000Z,2000-06-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598788021-LPDAAC_ECS,SC:CAM5K30UC.002:2331466914,LPDAAC_ECS,2,2019-03-20T17:34:48Z,2019-03-13T12:25:07.512Z,,SC:CAM5K30UC.002:2331466914,132.45,,Unspecified,2000-06-01T00:00:00.000Z,2000-07-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787782-LPDAAC_ECS,SC:CAM5K30UC.002:2331466938,LPDAAC_ECS,2,2019-03-20T17:34:47Z,2019-03-13T12:25:09.065Z,,SC:CAM5K30UC.002:2331466938,130.362,,Unspecified,2000-07-01T00:00:00.000Z,2000-08-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787909-LPDAAC_ECS,SC:CAM5K30UC.002:2331466877,LPDAAC_ECS,2,2019-03-20T17:34:51Z,2019-03-13T12:25:02.993Z,,SC:CAM5K30UC.002:2331466877,135.124,,Unspecified,2000-09-01T00:00:00.000Z,2000-10-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787997-LPDAAC_ECS,SC:CAM5K30UC.002:2331466965,LPDAAC_ECS,2,2019-03-20T17:34:48Z,2019-03-13T12:25:12.207Z,,SC:CAM5K30UC.002:2331466965,138.131,,Unspecified,2000-10-01T00:00:00.000Z,2000-11-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787848-LPDAAC_ECS,SC:CAM5K30UC.002:2331467058,LPDAAC_ECS,2,2019-03-20T17:34:48Z,2019-03-13T12:25:29.324Z,,SC:CAM5K30UC.002:2331467058,138.04,,Unspecified,2000-11-01T00:00:00.000Z,2000-12-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787834-LPDAAC_ECS,SC:CAM5K30UC.002:2331467005,LPDAAC_ECS,2,2019-03-20T17:34:46Z,2019-03-13T12:25:16.100Z,,SC:CAM5K30UC.002:2331467005,133.721,,Unspecified,2000-12-01T00:00:00.000Z,2001-01-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787999-LPDAAC_ECS,SC:CAM5K30UC.002:2331466872,LPDAAC_ECS,2,2019-03-20T17:34:50Z,2019-03-13T12:25:03.479Z,,SC:CAM5K30UC.002:2331466872,131.576,,Unspecified,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1598787850-LPDAAC_ECS,SC:CAM5K30UC.002:2331466990,LPDAAC_ECS,2,2019-03-20T17:34:47Z,2019-03-13T12:25:13.901Z,,SC:CAM5K30UC.002:2331466990,133.514,,Unspecified,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
