cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1666483296-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950701_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:54:30Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950701_v2.9.1_all.nc,0.51109,,Both,1995-07-01T00:00:00.000Z,1995-07-01T00:00:00.000Z,-43.9604,83.8967,-178.998,179.79,"POLYGON ((179.79 -43.9604, 179.79 83.8967, -178.998 83.8967, -178.998 -43.9604, 179.79 -43.9604))"
granule,G1666481004-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950702_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:51:50Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950702_v2.9.1_all.nc,0.517899,,Both,1995-07-02T00:00:00.000Z,1995-07-02T00:00:00.000Z,-47.8733,83.4896,-177.432,172.109,"POLYGON ((172.109 -47.8733, 172.109 83.4896, -177.432 83.4896, -177.432 -47.8733, 172.109 -47.8733))"
granule,G1666481975-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950703_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:52:58Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950703_v2.9.1_all.nc,0.329126,,Both,1995-07-03T00:00:00.000Z,1995-07-03T00:00:00.000Z,-34.6457,83.5987,-179.871,179.123,"POLYGON ((179.123 -34.6457, 179.123 83.59869999999999, -179.871 83.59869999999999, -179.871 -34.6457, 179.123 -34.6457))"
granule,G1666480798-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950705_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:51:37Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950705_v2.9.1_all.nc,0.53459,,Both,1995-07-05T00:00:00.000Z,1995-07-05T00:00:00.000Z,-33.8321,82.5896,-172.365,165.54,"POLYGON ((165.54 -33.8321, 165.54 82.5896, -172.365 82.5896, -172.365 -33.8321, 165.54 -33.8321))"
granule,G1666482223-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950708_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:53:15Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950708_v2.9.1_all.nc,0.25072,,Both,1995-07-08T00:00:00.000Z,1995-07-08T00:00:00.000Z,-35.162,83.692,-175.834,111.661,"POLYGON ((111.661 -35.162, 111.661 83.69199999999999, -175.834 83.69199999999999, -175.834 -35.162, 111.661 -35.162))"
granule,G1666482198-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950709_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:53:13Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950709_v2.9.1_all.nc,0.487857,,Both,1995-07-09T00:00:00.000Z,1995-07-09T00:00:00.000Z,-47.4649,83.6906,-179.779,179.818,"POLYGON ((179.818 -47.4649, 179.818 83.6906, -179.779 83.6906, -179.779 -47.4649, 179.818 -47.4649))"
granule,G1666480981-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950710_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:51:49Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950710_v2.9.1_all.nc,0.465949,,Both,1995-07-10T00:00:00.000Z,1995-07-10T00:00:00.000Z,-46.2822,83.8009,-167.356,179.674,"POLYGON ((179.674 -46.2822, 179.674 83.8009, -167.356 83.8009, -167.356 -46.2822, 179.674 -46.2822))"
granule,G1666484088-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950711_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:55:35Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950711_v2.9.1_all.nc,0.511547,,Both,1995-07-11T00:00:00.000Z,1995-07-11T00:00:00.000Z,-40.5781,83.9528,-179.962,179.926,"POLYGON ((179.926 -40.5781, 179.926 83.9528, -179.962 83.9528, -179.962 -40.5781, 179.926 -40.5781))"
granule,G1666481669-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950712_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:52:36Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950712_v2.9.1_all.nc,0.521717,,Both,1995-07-12T00:00:00.000Z,1995-07-12T00:00:00.000Z,-48.6578,83.9588,-179.921,179.803,"POLYGON ((179.803 -48.6578, 179.803 83.9588, -179.921 83.9588, -179.921 -48.6578, 179.803 -48.6578))"
granule,G1666481092-ORNL_DAAC,ERS2_GOME_SIF.NSIFv2.6.1.19950713_v2.9.1_all.nc,ORNL_DAAC,1,2019-12-10T13:51:57Z,2019-12-09T00:00:00.000Z,ERS2_GOME_SIF_1758,ERS2_GOME_SIF.NSIFv2.6.1.19950713_v2.9.1_all.nc,0.485493,,Both,1995-07-13T00:00:00.000Z,1995-07-13T00:00:00.000Z,-46.3739,83.6895,-179.969,179.734,"POLYGON ((179.734 -46.3739, 179.734 83.6895, -179.969 83.6895, -179.969 -46.3739, 179.734 -46.3739))"
