cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1399478596-LPDAAC_ECS,SC:GFCC30FCC.001:2262230476,LPDAAC_ECS,6,2018-06-19T19:09:59Z,2017-06-20T09:43:32.321Z,,SC:GFCC30FCC.001:2262230476,1.10339,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478598-LPDAAC_ECS,SC:GFCC30FCC.001:2262230402,LPDAAC_ECS,6,2018-06-19T17:30:33Z,2017-06-20T09:43:26.738Z,,SC:GFCC30FCC.001:2262230402,5.95178,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478642-LPDAAC_ECS,SC:GFCC30FCC.001:2262228499,LPDAAC_ECS,5,2018-06-19T19:09:19Z,2017-06-20T09:41:20.736Z,,SC:GFCC30FCC.001:2262228499,87.9064,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478660-LPDAAC_ECS,SC:GFCC30FCC.001:2262230504,LPDAAC_ECS,6,2018-06-19T19:09:56Z,2017-06-20T09:43:35.733Z,,SC:GFCC30FCC.001:2262230504,77.3885,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478662-LPDAAC_ECS,SC:GFCC30FCC.001:2262230505,LPDAAC_ECS,6,2018-06-19T19:10:02Z,2017-06-20T09:43:34.927Z,,SC:GFCC30FCC.001:2262230505,1.28722,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478665-LPDAAC_ECS,SC:GFCC30FCC.001:2262230486,LPDAAC_ECS,6,2018-06-19T19:10:02Z,2017-06-20T09:43:33.798Z,,SC:GFCC30FCC.001:2262230486,77.2743,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478678-LPDAAC_ECS,SC:GFCC30FCC.001:2262230552,LPDAAC_ECS,6,2018-06-19T19:10:13Z,2017-06-20T09:43:40.467Z,,SC:GFCC30FCC.001:2262230552,80.382,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478694-LPDAAC_ECS,SC:GFCC30FCC.001:2262230529,LPDAAC_ECS,6,2018-06-19T19:09:56Z,2017-06-20T09:43:36.471Z,,SC:GFCC30FCC.001:2262230529,0.727807,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478714-LPDAAC_ECS,SC:GFCC30FCC.001:2262229578,LPDAAC_ECS,5,2018-06-19T19:10:07Z,2017-06-20T09:42:32.898Z,,SC:GFCC30FCC.001:2262229578,0.395537,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1399478739-LPDAAC_ECS,SC:GFCC30FCC.001:2262230525,LPDAAC_ECS,6,2018-06-19T19:09:59Z,2017-06-20T09:43:36.511Z,,SC:GFCC30FCC.001:2262230525,1.54848,,Unspecified,1990-01-01T00:00:00.000Z,1999-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
