cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1438661808-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723541,LPDAAC_ECS,3,2018-06-19T17:31:12Z,2017-11-08T14:36:08.018Z,,SC:GFSAD30SACE.001:2281723541,35.9283,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661809-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723551,LPDAAC_ECS,3,2018-06-19T17:31:10Z,2017-11-08T14:36:10.407Z,,SC:GFSAD30SACE.001:2281723551,17.342,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661812-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723542,LPDAAC_ECS,3,2018-06-19T17:31:04Z,2017-11-08T14:36:08.685Z,,SC:GFSAD30SACE.001:2281723542,39.22,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661813-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723555,LPDAAC_ECS,3,2018-06-19T17:31:07Z,2017-11-08T14:36:16.206Z,,SC:GFSAD30SACE.001:2281723555,30.5316,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661817-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723535,LPDAAC_ECS,3,2018-06-19T17:31:07Z,2017-11-08T14:36:15.815Z,,SC:GFSAD30SACE.001:2281723535,11.3985,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661818-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723552,LPDAAC_ECS,3,2018-06-19T17:31:05Z,2017-11-08T14:36:10.514Z,,SC:GFSAD30SACE.001:2281723552,17.8958,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661819-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723522,LPDAAC_ECS,3,2018-06-19T17:31:11Z,2017-11-08T14:36:07.212Z,,SC:GFSAD30SACE.001:2281723522,17.5217,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661820-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723576,LPDAAC_ECS,3,2018-06-19T17:31:06Z,2017-11-08T14:36:13.408Z,,SC:GFSAD30SACE.001:2281723576,36.2887,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661822-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723540,LPDAAC_ECS,3,2018-06-19T17:31:08Z,2017-11-08T14:36:07.988Z,,SC:GFSAD30SACE.001:2281723540,21.1185,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661823-LPDAAC_ECS,SC:GFSAD30SACE.001:2281723536,LPDAAC_ECS,3,2018-06-19T17:31:06Z,2017-11-08T14:36:07.327Z,,SC:GFSAD30SACE.001:2281723536,26.8029,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
