cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266124513-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.07.he5,GES_DISC,2,2018-03-08T21:58:39Z,2011-10-05T18:25:29.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.07.he5,2.267814636230469,,Unspecified,1991-01-07T00:00:00.000Z,1991-01-08T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266124552-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.08.he5,GES_DISC,2,2018-03-08T21:58:41Z,2011-10-05T18:20:04.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.08.he5,2.267814636230469,,Unspecified,1991-01-08T00:00:00.000Z,1991-01-09T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266125114-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.09.he5,GES_DISC,2,2018-03-08T21:35:51Z,2011-10-05T18:37:26.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.09.he5,2.267814636230469,,Unspecified,1991-01-09T00:00:00.000Z,1991-01-10T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266123186-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.10.he5,GES_DISC,2,2018-03-08T21:31:28Z,2011-10-05T18:35:01.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.10.he5,2.267814636230469,,Unspecified,1991-01-10T00:00:00.000Z,1991-01-11T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266128783-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.11.he5,GES_DISC,2,2018-03-08T21:40:32Z,2011-10-05T18:35:01.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.11.he5,2.267814636230469,,Unspecified,1991-01-11T00:00:00.000Z,1991-01-12T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266128994-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.14.he5,GES_DISC,2,2018-03-08T21:41:07Z,2011-10-05T18:38:13.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.14.he5,2.267814636230469,,Unspecified,1991-01-14T00:00:00.000Z,1991-01-15T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266129020-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.15.he5,GES_DISC,2,2018-03-08T21:41:03Z,2011-10-05T18:39:30.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.15.he5,2.267814636230469,,Unspecified,1991-01-15T00:00:00.000Z,1991-01-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266129011-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.16.he5,GES_DISC,2,2018-03-08T21:40:59Z,2011-10-05T18:34:55.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.16.he5,2.267814636230469,,Unspecified,1991-01-16T00:00:00.000Z,1991-01-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266124974-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.17.he5,GES_DISC,2,2018-03-08T21:34:51Z,2011-10-05T18:28:52.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.17.he5,2.267814636230469,,Unspecified,1991-01-17T00:00:00.000Z,1991-01-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266124516-GES_DISC,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.18.he5,GES_DISC,2,2018-03-08T21:58:40Z,2011-10-05T18:33:01.000Z,GSSTF_F10,GSSTF_F10.2c:GSSTF_F10.2c.1991.01.18.he5,2.267814636230469,,Unspecified,1991-01-18T00:00:00.000Z,1991-01-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
