cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266176677-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.01.he5,GES_DISC,2,2018-03-08T22:15:10Z,2013-05-15T19:36:08.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.01.he5,15.8611602783203,,Unspecified,1987-07-01T00:00:00.000Z,1987-07-02T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266180610-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.02.he5,GES_DISC,2,2018-03-08T22:09:18Z,2013-05-15T19:49:54.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.02.he5,15.8611602783203,,Unspecified,1987-07-02T00:00:00.000Z,1987-07-03T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266180632-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.03.he5,GES_DISC,2,2018-03-08T22:09:25Z,2013-05-15T17:15:59.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.03.he5,15.8611602783203,,Unspecified,1987-07-03T00:00:00.000Z,1987-07-04T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266180519-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.04.he5,GES_DISC,2,2018-03-08T22:09:08Z,2013-05-15T21:37:13.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.04.he5,15.8611602783203,,Unspecified,1987-07-04T00:00:00.000Z,1987-07-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266176599-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.05.he5,GES_DISC,2,2018-03-08T22:14:35Z,2013-05-15T18:05:52.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.05.he5,15.8611602783203,,Unspecified,1987-07-05T00:00:00.000Z,1987-07-06T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266176788-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.06.he5,GES_DISC,2,2018-03-08T22:15:15Z,2013-05-15T17:05:33.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.06.he5,15.8611602783203,,Unspecified,1987-07-06T00:00:00.000Z,1987-07-07T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266180454-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.07.he5,GES_DISC,2,2018-03-08T22:08:42Z,2013-05-15T17:26:38.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.07.he5,15.8611602783203,,Unspecified,1987-07-07T00:00:00.000Z,1987-07-08T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266176581-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.08.he5,GES_DISC,2,2018-03-08T22:14:32Z,2013-05-15T19:09:34.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.08.he5,15.8611602783203,,Unspecified,1987-07-08T00:00:00.000Z,1987-07-09T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266180600-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.09.he5,GES_DISC,2,2018-03-08T22:09:15Z,2013-05-16T01:11:40.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.09.he5,15.8611602783203,,Unspecified,1987-07-09T00:00:00.000Z,1987-07-10T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266176594-GES_DISC,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.10.he5,GES_DISC,2,2018-03-08T22:14:34Z,2013-05-15T23:14:00.000Z,GSSTF_NCEP,GSSTF_NCEP.3:GSSTF_NCEP.3.1987.07.10.he5,15.8611602783203,,Unspecified,1987-07-10T00:00:00.000Z,1987-07-11T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
