cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1632089142-LPDAAC_ECS,SC:GWELDMO.031:2346525869,LPDAAC_ECS,2,2019-09-04T14:02:53Z,2019-09-04T08:57:02.307Z,,SC:GWELDMO.031:2346525869,149.103,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089166-LPDAAC_ECS,SC:GWELDMO.031:2346525914,LPDAAC_ECS,2,2019-09-04T14:02:53Z,2019-09-04T08:57:19.996Z,,SC:GWELDMO.031:2346525914,57.4001,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089213-LPDAAC_ECS,SC:GWELDMO.031:2346525878,LPDAAC_ECS,2,2019-09-04T14:02:53Z,2019-09-04T08:57:05.214Z,,SC:GWELDMO.031:2346525878,142.689,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089336-LPDAAC_ECS,SC:GWELDMO.031:2346525896,LPDAAC_ECS,2,2019-09-04T14:02:55Z,2019-09-04T08:57:13.634Z,,SC:GWELDMO.031:2346525896,215.829,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089367-LPDAAC_ECS,SC:GWELDMO.031:2346525904,LPDAAC_ECS,2,2019-09-04T14:02:53Z,2019-09-04T08:57:15.943Z,,SC:GWELDMO.031:2346525904,61.9661,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089695-LPDAAC_ECS,SC:GWELDMO.031:2346526185,LPDAAC_ECS,1,2019-09-04T14:02:41Z,2019-09-04T08:59:26.975Z,,SC:GWELDMO.031:2346526185,104.65,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089696-LPDAAC_ECS,SC:GWELDMO.031:2346527083,LPDAAC_ECS,2,2019-09-04T14:07:58Z,2019-09-04T09:01:48.680Z,,SC:GWELDMO.031:2346527083,299.522,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089697-LPDAAC_ECS,SC:GWELDMO.031:2346526250,LPDAAC_ECS,1,2019-09-04T14:02:41Z,2019-09-04T08:59:47.496Z,,SC:GWELDMO.031:2346526250,81.4426,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089701-LPDAAC_ECS,SC:GWELDMO.031:2346526206,LPDAAC_ECS,1,2019-09-04T14:02:41Z,2019-09-04T08:59:38.536Z,,SC:GWELDMO.031:2346526206,311.667,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1632089707-LPDAAC_ECS,SC:GWELDMO.031:2346526197,LPDAAC_ECS,1,2019-09-04T14:02:41Z,2019-09-04T08:59:29.552Z,,SC:GWELDMO.031:2346526197,6.73949,,Unspecified,1988-12-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
