cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1259538348-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1991.nc4,GES_DISC,1,2016-05-20T00:57:05Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1991.nc4,0.117138862609863,,Unspecified,1991-09-01T00:00:00.000Z,1991-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538374-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1992.nc4,GES_DISC,1,2016-05-20T00:57:05Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1992.nc4,0.176471710205078,,Unspecified,1992-01-01T00:00:00.000Z,1992-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538392-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1993.nc4,GES_DISC,1,2016-05-20T00:57:05Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1993.nc4,0.16169261932373,,Unspecified,1993-01-01T00:00:00.000Z,1993-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538402-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1994.nc4,GES_DISC,1,2016-05-20T00:57:05Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1994.nc4,0.151858329772949,,Unspecified,1994-01-01T00:00:00.000Z,1994-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538420-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1995.nc4,GES_DISC,1,2016-05-20T00:57:06Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1995.nc4,0.149434089660645,,Unspecified,1995-01-01T00:00:00.000Z,1995-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538424-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1996.nc4,GES_DISC,1,2016-05-20T00:57:06Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1996.nc4,0.145474433898926,,Unspecified,1996-01-01T00:00:00.000Z,1996-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538359-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1997.nc4,GES_DISC,1,2016-05-20T00:57:06Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1997.nc4,0.142863273620605,,Unspecified,1997-01-01T00:00:00.000Z,1997-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538433-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1998.nc4,GES_DISC,1,2016-05-20T00:57:06Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1998.nc4,0.142802238464355,,Unspecified,1998-01-01T00:00:00.000Z,1998-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538415-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1999.nc4,GES_DISC,1,2016-05-20T00:57:06Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_1999.nc4,0.143698692321777,,Unspecified,1999-01-01T00:00:00.000Z,1999-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259538419-GES_DISC,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_2000.nc4,GES_DISC,2,2018-03-10T07:23:46Z,2016-05-19T02:32:37.000Z,GozMmlpH2O,GozMmlpH2O.1:GOZ-Merged-MLP_H2O_ev1-01_2000.nc4,0.142336845397949,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
