cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1259273601-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1979.nc4,GES_DISC,1,2016-05-19T23:48:30Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1979.nc4,0.124650955200195,,Unspecified,1979-02-01T00:00:00.000Z,1979-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273585-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1980.nc4,GES_DISC,1,2016-05-19T23:48:30Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1980.nc4,0.125548362731934,,Unspecified,1980-01-01T00:00:00.000Z,1980-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273570-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1981.nc4,GES_DISC,1,2016-05-19T23:48:31Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1981.nc4,0.120990753173828,,Unspecified,1981-01-01T00:00:00.000Z,1981-11-30T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273577-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1984.nc4,GES_DISC,1,2016-05-19T23:48:31Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1984.nc4,0.100827217102051,,Unspecified,1984-10-01T00:00:00.000Z,1984-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273618-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1985.nc4,GES_DISC,1,2016-05-19T23:48:31Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1985.nc4,0.155035018920898,,Unspecified,1985-01-01T00:00:00.000Z,1985-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273641-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1986.nc4,GES_DISC,1,2016-05-19T23:48:31Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1986.nc4,0.154994010925293,,Unspecified,1986-01-01T00:00:00.000Z,1986-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273631-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1987.nc4,GES_DISC,1,2016-05-19T23:48:31Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1987.nc4,0.155279159545898,,Unspecified,1987-01-01T00:00:00.000Z,1987-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273632-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1988.nc4,GES_DISC,1,2016-05-19T23:48:31Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1988.nc4,0.156455039978027,,Unspecified,1988-01-01T00:00:00.000Z,1988-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273635-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1989.nc4,GES_DISC,1,2016-05-19T23:48:32Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1989.nc4,0.156217575073242,,Unspecified,1989-01-01T00:00:00.000Z,1989-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273659-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1990.nc4,GES_DISC,1,2016-05-19T23:48:32Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1990.nc4,0.15489387512207,,Unspecified,1990-01-01T00:00:00.000Z,1990-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273685-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1991.nc4,GES_DISC,1,2016-05-19T23:48:32Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1991.nc4,0.352412223815918,,Unspecified,1991-01-01T00:00:00.000Z,1991-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273688-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1992.nc4,GES_DISC,1,2016-05-19T23:48:32Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1992.nc4,0.441621780395508,,Unspecified,1992-01-01T00:00:00.000Z,1992-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273716-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1993.nc4,GES_DISC,1,2016-05-19T23:48:32Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1993.nc4,0.45867919921875,,Unspecified,1993-01-01T00:00:00.000Z,1993-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273698-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1994.nc4,GES_DISC,1,2016-05-19T23:48:33Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1994.nc4,0.462250709533691,,Unspecified,1994-01-01T00:00:00.000Z,1994-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273749-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1995.nc4,GES_DISC,1,2016-05-19T23:48:33Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1995.nc4,0.450800895690918,,Unspecified,1995-01-01T00:00:00.000Z,1995-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273752-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1996.nc4,GES_DISC,1,2016-05-19T23:48:33Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1996.nc4,0.463303565979004,,Unspecified,1996-01-01T00:00:00.000Z,1996-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273757-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1997.nc4,GES_DISC,1,2016-05-19T23:48:33Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1997.nc4,0.419384002685547,,Unspecified,1997-01-01T00:00:00.000Z,1997-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273784-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1998.nc4,GES_DISC,1,2016-05-19T23:48:34Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1998.nc4,0.29869556427002,,Unspecified,1998-01-01T00:00:00.000Z,1998-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273821-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1999.nc4,GES_DISC,1,2016-05-19T23:48:34Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_1999.nc4,0.304161071777344,,Unspecified,1999-01-01T00:00:00.000Z,1999-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273790-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2000.nc4,GES_DISC,2,2018-03-10T07:23:48Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2000.nc4,0.276176452636719,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273818-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2001.nc4,GES_DISC,2,2018-03-10T07:23:49Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2001.nc4,0.285327911376953,,Unspecified,2001-01-01T00:00:00.000Z,2001-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273842-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2002.nc4,GES_DISC,2,2018-03-10T07:23:48Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2002.nc4,0.28109073638916,,Unspecified,2002-01-01T00:00:00.000Z,2002-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1259273861-GES_DISC,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2003.nc4,GES_DISC,2,2018-03-10T07:23:50Z,2016-05-19T02:32:38.000Z,GozSmlpO3,GozSmlpO3.1:GOZ-Source-MLP_O3_ev1-01_2003.nc4,0.277802467346191,,Unspecified,2003-01-01T00:00:00.000Z,2003-12-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
