cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1368578308-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1988_v1.nc4,GES_DISC,3,2018-03-21T10:19:15Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1988_v1.nc4,9.962776184082031,,Unspecified,1988-01-01T00:00:00.000Z,1988-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578309-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1989_v1.nc4,GES_DISC,3,2018-03-21T10:19:16Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1989_v1.nc4,9.962776184082031,,Unspecified,1989-01-01T00:00:00.000Z,1989-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578292-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1990_v1.nc4,GES_DISC,3,2018-03-21T10:19:13Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1990_v1.nc4,9.962776184082031,,Unspecified,1990-01-01T00:00:00.000Z,1990-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578293-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1991_v1.nc4,GES_DISC,3,2018-03-21T10:19:12Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1991_v1.nc4,9.962776184082031,,Unspecified,1991-01-01T00:00:00.000Z,1991-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578295-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1992_v1.nc4,GES_DISC,3,2018-03-21T10:19:16Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1992_v1.nc4,9.962776184082031,,Unspecified,1992-01-01T00:00:00.000Z,1992-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578311-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1993_v1.nc4,GES_DISC,3,2018-03-21T10:19:12Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1993_v1.nc4,9.962776184082031,,Unspecified,1993-01-01T00:00:00.000Z,1993-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578312-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1994_v1.nc4,GES_DISC,3,2018-03-21T10:19:15Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1994_v1.nc4,9.962776184082031,,Unspecified,1994-01-01T00:00:00.000Z,1994-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578314-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1995_v1.nc4,GES_DISC,3,2018-03-21T10:19:11Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1995_v1.nc4,9.962776184082031,,Unspecified,1995-01-01T00:00:00.000Z,1995-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578340-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1996_v1.nc4,GES_DISC,3,2018-03-21T10:19:12Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1996_v1.nc4,9.962776184082031,,Unspecified,1996-01-01T00:00:00.000Z,1996-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1368578315-GES_DISC,MACTWP_mean.1:maclwp_totallwpave_1997_v1.nc4,GES_DISC,3,2018-03-21T10:19:15Z,2017-02-13T14:46:50.000Z,MACTWP_mean,MACTWP_mean.1:maclwp_totallwpave_1997_v1.nc4,9.962776184082031,,Unspecified,1997-01-01T00:00:00.000Z,1997-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
