cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1579036570-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840101T00Z.nc,GES_DISC,2,2018-12-18T21:52:26Z,2018-12-18T21:17:00.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840101T00Z.nc,56.2719430923462,,Unspecified,1984-01-01T00:00:00.000Z,1984-01-01T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036573-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840102T00Z.nc,GES_DISC,2,2018-12-18T21:52:26Z,2018-12-18T21:17:00.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840102T00Z.nc,56.2431392669678,,Unspecified,1984-01-02T00:00:00.000Z,1984-01-02T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036575-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840103T00Z.nc,GES_DISC,2,2018-12-18T21:52:26Z,2018-12-18T21:17:01.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840103T00Z.nc,56.2437734603882,,Unspecified,1984-01-03T00:00:00.000Z,1984-01-03T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036577-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840104T00Z.nc,GES_DISC,2,2018-12-18T21:52:27Z,2018-12-18T21:17:01.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840104T00Z.nc,56.2026767730713,,Unspecified,1984-01-04T00:00:00.000Z,1984-01-04T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036579-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840105T00Z.nc,GES_DISC,2,2018-12-18T21:52:27Z,2018-12-18T21:17:01.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840105T00Z.nc,56.2339134216309,,Unspecified,1984-01-05T00:00:00.000Z,1984-01-05T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036581-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840106T00Z.nc,GES_DISC,2,2018-12-18T21:52:27Z,2018-12-18T21:17:01.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840106T00Z.nc,56.2462377548218,,Unspecified,1984-01-06T00:00:00.000Z,1984-01-06T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036583-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840107T00Z.nc,GES_DISC,2,2018-12-18T21:52:27Z,2018-12-18T21:17:02.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840107T00Z.nc,56.2877826690674,,Unspecified,1984-01-07T00:00:00.000Z,1984-01-07T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036585-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840108T00Z.nc,GES_DISC,2,2018-12-18T21:52:27Z,2018-12-18T21:17:02.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840108T00Z.nc,56.2791557312012,,Unspecified,1984-01-08T00:00:00.000Z,1984-01-08T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036586-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840109T00Z.nc,GES_DISC,2,2018-12-18T21:52:27Z,2018-12-18T21:17:03.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840109T00Z.nc,56.2933855056763,,Unspecified,1984-01-09T00:00:00.000Z,1984-01-09T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036588-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840110T00Z.nc,GES_DISC,2,2018-12-18T21:52:28Z,2018-12-18T21:17:04.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840110T00Z.nc,56.3108339309692,,Unspecified,1984-01-10T00:00:00.000Z,1984-01-10T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036591-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840111T00Z.nc,GES_DISC,2,2018-12-18T21:52:28Z,2018-12-18T21:17:04.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840111T00Z.nc,56.3202800750732,,Unspecified,1984-01-11T00:00:00.000Z,1984-01-11T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036593-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840112T00Z.nc,GES_DISC,2,2018-12-18T21:52:28Z,2018-12-18T21:17:04.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840112T00Z.nc,56.2564735412598,,Unspecified,1984-01-12T00:00:00.000Z,1984-01-12T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036597-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840113T00Z.nc,GES_DISC,2,2018-12-18T21:52:28Z,2018-12-18T21:17:04.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840113T00Z.nc,56.205753326416,,Unspecified,1984-01-13T00:00:00.000Z,1984-01-13T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036599-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840114T00Z.nc,GES_DISC,2,2018-12-18T21:52:29Z,2018-12-18T21:17:05.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840114T00Z.nc,56.0355558395386,,Unspecified,1984-01-14T00:00:00.000Z,1984-01-14T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036607-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840115T00Z.nc,GES_DISC,2,2018-12-18T21:52:29Z,2018-12-18T21:17:05.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840115T00Z.nc,56.0699396133423,,Unspecified,1984-01-15T00:00:00.000Z,1984-01-15T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036613-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840116T00Z.nc,GES_DISC,2,2018-12-18T21:52:29Z,2018-12-18T21:17:05.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840116T00Z.nc,56.2395238876343,,Unspecified,1984-01-16T00:00:00.000Z,1984-01-16T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036617-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840117T00Z.nc,GES_DISC,2,2018-12-18T21:52:29Z,2018-12-18T21:17:05.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840117T00Z.nc,56.2230491638184,,Unspecified,1984-01-17T00:00:00.000Z,1984-01-17T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
granule,G1579036619-GES_DISC,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840118T00Z.nc,GES_DISC,2,2018-12-18T21:52:29Z,2018-12-18T21:17:06.000Z,PET_PU_3H025,PET_PU_3H025.001:PET_MULTISEN_025.L4.V001.19840118T00Z.nc,56.222113609314,,Unspecified,1984-01-18T00:00:00.000Z,1984-01-18T23:59:59.000Z,-60.0,90.0,-180.0,180.0,"POLYGON ((180 -60, 180 90, -180 90, -180 -60, 180 -60))"
