cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674169833-PODAAC,North_America_Oahe_WaterAreaV2_1465.nc,PODAAC,1,2019-12-18T16:25:56Z,2019-09-12T20:51:19.039Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,North_America_Oahe_WaterAreaV2_1465.nc,1943.8559684753418,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,44.348,47.573,-106.737,-95.723,"POLYGON ((-95.723 44.348, -95.723 47.573, -106.737 47.573, -106.737 44.348, -95.723 44.348))"
granule,G1674169839-PODAAC,South_America_FuroSantaMaria_WaterAreaV2_1765.nc,PODAAC,1,2019-12-18T16:25:58Z,2019-09-12T20:55:43.318Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,South_America_FuroSantaMaria_WaterAreaV2_1765.nc,120.36551666259766,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,-2.035,-1.535,-50.526,-49.103,"POLYGON ((-49.103 -2.035, -49.103 -1.535, -50.526 -1.535, -50.526 -2.035, -49.103 -2.035))"
granule,G1674169842-PODAAC,North_America_Williston_WaterAreaV2_1155.nc,PODAAC,1,2019-12-18T16:25:59Z,2019-09-11T20:40:50.052Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,North_America_Williston_WaterAreaV2_1155.nc,776.2002115249634,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674169845-PODAAC,South_America_Chavantes_WaterAreaV2_795.nc,PODAAC,1,2019-12-18T16:26:01Z,2019-09-12T20:55:57.065Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,South_America_Chavantes_WaterAreaV2_795.nc,80.29617023468018,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,-23.706,-22.998,-50.05,-49.064,"POLYGON ((-49.064 -23.706, -49.064 -22.998, -50.05 -22.998, -50.05 -23.706, -49.064 -23.706))"
granule,G1674169848-PODAAC,North_America_Gods_WaterAreaV2_470.nc,PODAAC,1,2019-12-18T16:26:02Z,2019-09-12T20:56:44.575Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,North_America_Gods_WaterAreaV2_470.nc,151.96807098388672,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,54.294,54.94,-96.25,-92.371,"POLYGON ((-92.371 54.294, -92.371 54.94, -96.25 54.94, -96.25 54.294, -92.371 54.294))"
granule,G1674169850-PODAAC,Oceania_Argyle_WaterAreaV2_755.nc,PODAAC,1,2019-12-18T16:26:04Z,2019-09-12T20:57:02.561Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,Oceania_Argyle_WaterAreaV2_755.nc,145.727933883667,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,-16.881,-15.99,128.039,129.629,"POLYGON ((129.629 -16.881, 129.629 -15.99, 128.039 -15.99, 128.039 -16.881, 129.629 -16.881))"
granule,G1674169853-PODAAC,Europe_IlMen_WaterAreaV2_956.nc,PODAAC,1,2019-12-18T16:26:05Z,2019-09-12T20:57:07.253Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,Europe_IlMen_WaterAreaV2_956.nc,58.80532932281494,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,58.019,58.54,30.543,32.257,"POLYGON ((32.257 58.019, 32.257 58.54, 30.543 58.54, 30.543 58.019, 32.257 58.019))"
granule,G1674169856-PODAAC,Europe_Ladoga_WaterAreaV2_396.nc,PODAAC,1,2019-12-18T16:26:07Z,2019-09-12T21:00:12.221Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,Europe_Ladoga_WaterAreaV2_396.nc,698.588098526001,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,59.819,61.865,28.39,34.535,"POLYGON ((34.535 59.819, 34.535 61.865, 28.39 61.865, 28.39 59.819, 34.535 59.819))"
granule,G1674169858-PODAAC,Europe_Kama_WaterAreaV2_810.nc,PODAAC,1,2019-12-18T16:26:08Z,2019-09-12T21:02:12.911Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,Europe_Kama_WaterAreaV2_810.nc,536.9864120483398,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,57.698,59.527,53.648,59.941,"POLYGON ((59.941 57.698, 59.941 59.527, 53.648 59.527, 53.648 57.698, 59.941 57.698))"
granule,G1674169861-PODAAC,North_America_FlamingGorge_WaterAreaV2_680.nc,PODAAC,1,2019-12-18T16:26:09Z,2019-09-12T21:05:52.337Z,PRESWOT_HYDRO_L3_LAKE_RESEVOIR_AREA_V2,North_America_FlamingGorge_WaterAreaV2_680.nc,137.55522632598877,,Unspecified,2000-02-18T00:00:00.000Z,2016-10-15T00:00:00.000Z,40.806,41.556,-110.859,-108.176,"POLYGON ((-108.176 40.806, -108.176 41.556, -110.859 41.556, -110.859 40.806, -108.176 40.806))"
