cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266215506-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1201_v01-01-2012m0719t052730.h5,GES_DISC,2,2018-03-21T12:00:56Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1201_v01-01-2012m0719t052730.h5,3.882589340209961,,Day,1988-12-01T00:54:18.000Z,1988-12-01T23:49:46.000Z,-81.0608,65.1514,-180.0,180.0,"POLYGON ((180 -81.0608, 180 65.1514, -180 65.1514, -180 -81.0608, 180 -81.0608))"
granule,G1266215519-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1202_v01-01-2012m0719t052729.h5,GES_DISC,2,2018-03-21T12:00:59Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1202_v01-01-2012m0719t052729.h5,3.634532928466797,,Day,1988-12-02T00:43:38.000Z,1988-12-02T23:39:38.000Z,-81.0608,65.1282,-180.0,180.0,"POLYGON ((180 -81.0608, 180 65.12820000000001, -180 65.12820000000001, -180 -81.0608, 180 -81.0608))"
granule,G1266215376-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1203_v01-01-2012m0719t052730.h5,GES_DISC,2,2018-03-21T12:00:54Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1203_v01-01-2012m0719t052730.h5,3.895068168640137,,Day,1988-12-03T00:33:30.000Z,1988-12-03T23:29:30.000Z,-81.0603,65.1083,-180.0,180.0,"POLYGON ((180 -81.0603, 180 65.1083, -180 65.1083, -180 -81.0603, 180 -81.0603))"
granule,G1266215546-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1204_v01-01-2012m0719t052729.h5,GES_DISC,2,2018-03-21T12:00:58Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1204_v01-01-2012m0719t052729.h5,4.16912841796875,,Day,1988-12-04T00:23:22.000Z,1988-12-05T01:00:42.000Z,-81.0603,65.0968,-180.0,180.0,"POLYGON ((180 -81.0603, 180 65.0968, -180 65.0968, -180 -81.0603, 180 -81.0603))"
granule,G1266215570-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1205_v01-01-2012m0719t052732.h5,GES_DISC,2,2018-03-21T12:00:58Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1205_v01-01-2012m0719t052732.h5,3.904595375061035,,Day,1988-12-05T01:55:06.000Z,1988-12-06T00:51:06.000Z,-81.0584,65.0881,-180.0,180.0,"POLYGON ((180 -81.05840000000001, 180 65.0881, -180 65.0881, -180 -81.05840000000001, 180 -81.05840000000001))"
granule,G1266215457-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1206_v01-01-2012m0719t052730.h5,GES_DISC,2,2018-03-21T12:00:53Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1206_v01-01-2012m0719t052730.h5,3.386695861816406,,Day,1988-12-06T01:44:58.000Z,1988-12-07T00:40:58.000Z,-81.0639,65.0767,-180.0,180.0,"POLYGON ((180 -81.0639, 180 65.0767, -180 65.0767, -180 -81.0639, 180 -81.0639))"
granule,G1266215561-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1207_v01-01-2012m0719t052731.h5,GES_DISC,2,2018-03-21T12:00:57Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1207_v01-01-2012m0719t052731.h5,3.906218528747559,,Day,1988-12-07T01:34:50.000Z,1988-12-08T00:30:50.000Z,-81.0639,64.1913,-180.0,180.0,"POLYGON ((180 -81.0639, 180 64.1913, -180 64.1913, -180 -81.0639, 180 -81.0639))"
granule,G1266215379-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1208_v01-01-2012m0719t052729.h5,GES_DISC,2,2018-03-21T12:00:55Z,2013-07-02T19:06:23.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1208_v01-01-2012m0719t052729.h5,3.356571197509766,,Day,1988-12-08T01:24:42.000Z,1988-12-09T00:20:42.000Z,-81.0579,64.1741,-180.0,180.0,"POLYGON ((180 -81.0579, 180 64.1741, -180 64.1741, -180 -81.0579, 180 -81.0579))"
granule,G1266215549-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1209_v01-01-2012m0719t052730.h5,GES_DISC,2,2018-03-21T12:00:59Z,2013-07-02T19:06:24.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1209_v01-01-2012m0719t052730.h5,3.617159843444824,,Day,1988-12-09T01:14:34.000Z,1988-12-10T00:10:34.000Z,-81.0634,64.1627,-180.0,180.0,"POLYGON ((180 -81.0634, 180 64.1627, -180 64.1627, -180 -81.0634, 180 -81.0634))"
granule,G1266215500-GES_DISC,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1210_v01-01-2012m0719t052730.h5,GES_DISC,2,2018-03-21T12:00:55Z,2013-07-02T19:06:24.000Z,SBUV2N11L2,SBUV2N11L2.1:SBUV2-NOAA11_L2-SBUV2N11L2_1988m1210_v01-01-2012m0719t052730.h5,3.871092796325684,,Day,1988-12-10T01:04:26.000Z,1988-12-11T00:00:26.000Z,-81.0634,64.1512,-180.0,180.0,"POLYGON ((180 -81.0634, 180 64.1512, -180 64.1512, -180 -81.0634, 180 -81.0634))"
