cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266286292-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970904_v004-20130603T205559Z.h5,GES_DISC,2,2018-03-21T17:05:37Z,2013-06-25T19:15:38.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970904_v004-20130603T205559Z.h5,0.545424461364746,,Day,1997-09-04T00:00:00.000Z,1997-09-04T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286347-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970906_v004-20130603T205603Z.h5,GES_DISC,2,2018-03-21T17:05:32Z,2013-06-25T19:15:38.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970906_v004-20130603T205603Z.h5,0.679684638977051,,Day,1997-09-06T00:00:00.000Z,1997-09-06T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286374-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970909_v004-20130603T205611Z.h5,GES_DISC,2,2018-03-21T17:05:49Z,2013-06-25T19:15:38.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970909_v004-20130603T205611Z.h5,1.116010665893555,,Day,1997-09-09T00:00:00.000Z,1997-09-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286380-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970910_v004-20130603T205615Z.h5,GES_DISC,2,2018-03-21T17:05:52Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970910_v004-20130603T205615Z.h5,0.905564308166504,,Day,1997-09-10T00:00:00.000Z,1997-09-10T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286345-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970915_v004-20130603T205627Z.h5,GES_DISC,2,2018-03-21T17:05:30Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970915_v004-20130603T205627Z.h5,1.216531753540039,,Day,1997-09-15T00:00:00.000Z,1997-09-15T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286392-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970916_v004-20130603T205632Z.h5,GES_DISC,2,2018-03-21T17:06:01Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970916_v004-20130603T205632Z.h5,2.162757873535156,,Day,1997-09-16T00:00:00.000Z,1997-09-16T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286305-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970918_v004-20130603T205641Z.h5,GES_DISC,2,2018-03-21T17:05:15Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970918_v004-20130603T205641Z.h5,1.128546714782715,,Day,1997-09-18T00:00:00.000Z,1997-09-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286368-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970919_v004-20130603T205647Z.h5,GES_DISC,2,2018-03-21T17:05:44Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970919_v004-20130603T205647Z.h5,2.68428897857666,,Day,1997-09-19T00:00:00.000Z,1997-09-19T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286340-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970920_v004-20130603T205701Z.h5,GES_DISC,2,2018-03-21T17:05:26Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970920_v004-20130603T205701Z.h5,3.008510589599609,,Day,1997-09-20T00:00:00.000Z,1997-09-20T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266286390-GES_DISC,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970921_v004-20130603T205710Z.h5,GES_DISC,2,2018-03-21T17:05:59Z,2013-06-25T19:15:39.000Z,SWDB_L310,SWDB_L310.004:DeepBlue-SeaWiFS-1.0_L3_19970921_v004-20130603T205710Z.h5,2.951231002807617,,Day,1997-09-21T00:00:00.000Z,1997-09-21T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
