cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266287862-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199709_v004-20130604T123234Z.h5,GES_DISC,2,2018-03-21T17:25:30Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199709_v004-20130604T123234Z.h5,15.3910121917725,,Day,1997-09-01T00:00:00.000Z,1997-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287830-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199710_v004-20130604T123249Z.h5,GES_DISC,2,2018-03-21T17:25:31Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199710_v004-20130604T123249Z.h5,17.5850820541382,,Day,1997-10-01T00:00:00.000Z,1997-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287828-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199711_v004-20130604T123307Z.h5,GES_DISC,2,2018-03-21T17:25:30Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199711_v004-20130604T123307Z.h5,18.1662940979004,,Day,1997-11-01T00:00:00.000Z,1997-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287861-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199712_v004-20130604T123325Z.h5,GES_DISC,2,2018-03-21T17:25:30Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199712_v004-20130604T123325Z.h5,17.4604606628418,,Day,1997-12-01T00:00:00.000Z,1997-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287869-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199801_v004-20130604T123343Z.h5,GES_DISC,2,2018-03-21T17:25:33Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199801_v004-20130604T123343Z.h5,17.5700101852417,,Day,1998-01-01T00:00:00.000Z,1998-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287866-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199802_v004-20130604T123400Z.h5,GES_DISC,2,2018-03-21T17:25:32Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199802_v004-20130604T123400Z.h5,18.2934951782227,,Day,1998-02-01T00:00:00.000Z,1998-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287779-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199803_v004-20130604T123419Z.h5,GES_DISC,2,2018-03-21T17:25:35Z,2013-06-24T16:33:34.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199803_v004-20130604T123419Z.h5,18.9785327911377,,Day,1998-03-01T00:00:00.000Z,1998-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287775-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199804_v004-20130604T123438Z.h5,GES_DISC,2,2018-03-21T17:25:32Z,2013-06-24T16:33:35.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199804_v004-20130604T123438Z.h5,19.2519607543945,,Day,1998-04-01T00:00:00.000Z,1998-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287776-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199805_v004-20130604T123457Z.h5,GES_DISC,2,2018-03-21T17:25:33Z,2013-06-24T16:33:35.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199805_v004-20130604T123457Z.h5,18.9058904647827,,Day,1998-05-01T00:00:00.000Z,1998-05-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266287865-GES_DISC,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199806_v004-20130604T123515Z.h5,GES_DISC,2,2018-03-21T17:25:31Z,2013-06-24T16:33:35.000Z,SWDB_L3M05,SWDB_L3M05.004:DeepBlue-SeaWiFS-0.5_L3M_199806_v004-20130604T123515Z.h5,17.9293298721313,,Day,1998-06-01T00:00:00.000Z,1998-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
