cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1266300850-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199709-201009_v004-20130624T144105Z.h5,GES_DISC,2,2018-03-21T17:23:46Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199709-201009_v004-20130624T144105Z.h5,17.2479810714722,,Day,1997-09-01T00:00:00.000Z,2010-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300828-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199710-201010_v004-20130624T144115Z.h5,GES_DISC,2,2018-03-21T17:23:46Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199710-201010_v004-20130624T144115Z.h5,16.4998416900635,,Day,1997-10-01T00:00:00.000Z,2010-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300842-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199711-201011_v004-20130624T144125Z.h5,GES_DISC,2,2018-03-21T17:23:42Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199711-201011_v004-20130624T144125Z.h5,15.5901203155518,,Day,1997-11-01T00:00:00.000Z,2010-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300848-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199712-201012_v004-20130624T144135Z.h5,GES_DISC,2,2018-03-21T17:23:46Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199712-201012_v004-20130624T144135Z.h5,15.2992324829102,,Day,1997-12-01T00:00:00.000Z,2010-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300847-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199801-201001_v004-20130624T143951Z.h5,GES_DISC,2,2018-03-21T17:23:45Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199801-201001_v004-20130624T143951Z.h5,15.2945289611816,,Day,1998-01-01T00:00:00.000Z,2010-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300843-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199802-201002_v004-20130624T144000Z.h5,GES_DISC,2,2018-03-21T17:23:43Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199802-201002_v004-20130624T144000Z.h5,15.8728580474854,,Day,1998-02-01T00:00:00.000Z,2010-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300841-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199803-201003_v004-20130624T144009Z.h5,GES_DISC,2,2018-03-21T17:23:42Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199803-201003_v004-20130624T144009Z.h5,16.6242055892944,,Day,1998-03-01T00:00:00.000Z,2010-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300825-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199804-201004_v004-20130624T144018Z.h5,GES_DISC,2,2018-03-21T17:23:45Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199804-201004_v004-20130624T144018Z.h5,16.3545770645142,,Day,1998-04-01T00:00:00.000Z,2010-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300845-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199805-201005_v004-20130624T144027Z.h5,GES_DISC,2,2018-03-21T17:23:43Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199805-201005_v004-20130624T144027Z.h5,15.9122953414917,,Day,1998-05-01T00:00:00.000Z,2010-05-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1266300824-GES_DISC,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199806-201006_v004-20130624T144036Z.h5,GES_DISC,2,2018-03-21T17:23:44Z,2013-06-24T16:24:13.000Z,SWDB_L3MC05,SWDB_L3MC05.004:DeepBlue-SeaWiFS-0.5_L3MC_199806-201006_v004-20130624T144036Z.h5,15.6102304458618,,Day,1998-06-01T00:00:00.000Z,2010-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
