cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650313760-PODAAC,GRD-3_2002095-2002120_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:48:44Z,2019-10-06T20:59:39.087Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002095-2002120_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313980-PODAAC,GRD-3_2002122-2002137_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:50:11Z,2019-10-06T20:53:58.122Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002122-2002137_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-17T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313764-PODAAC,GRD-3_2002213-2002243_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:48:52Z,2019-10-06T21:00:41.234Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002213-2002243_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650314083-PODAAC,GRD-3_2002244-2002273_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:51:17Z,2019-10-06T21:03:18.672Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002244-2002273_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313680-PODAAC,GRD-3_2002274-2002304_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:47:58Z,2019-10-06T20:49:51.258Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002274-2002304_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650314074-PODAAC,GRD-3_2002305-2002334_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:51:14Z,2019-10-06T21:03:06.366Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002305-2002334_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313816-PODAAC,GRD-3_2002335-2002365_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:49:20Z,2019-10-06T20:48:19.805Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2002335-2002365_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313797-PODAAC,GRD-3_2003001-2003031_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:49:04Z,2019-10-06T21:02:41.183Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2003001-2003031_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313983-PODAAC,GRD-3_2003032-2003059_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:50:13Z,2019-10-06T20:54:04.789Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2003032-2003059_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1650313823-PODAAC,GRD-3_2003060-2003090_GRAC_GFZOP_BA01_0600_OCN_v02.nc,PODAAC,1,2019-11-01T16:49:27Z,2019-10-06T20:48:50.696Z,TELLUS_GRAC_L3_GFZ_RL06_OCN_v02,GRD-3_2003060-2003090_GRAC_GFZOP_BA01_0600_OCN_v02.nc,0.5445079803466797,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
